Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,89.15,91.4,85.05,80.15,78.05,75.65,74.25,72.42,69.2,74.25,76.68,80.35,85.05,79.7,87.85
3Mo,90.05,83.7,77.95,72.2,69.6,66.7,64.95,63.4,62.6,62.6,55.5,65.2,72,68.5,73.9
6Mo,81.45,75.05,69.25,64.15,61.85,59.5,58.15,56.85,56.3,56.35,57.25,57.25,60.25,59.4,62.85
9Mo,74.2,68.1,62.85,58.7,56.85,55,54.05,53.45,53.2,52.55,53.25,54.3,55.5,56.05,57.45
1Yr,67.6,61.7,56,52.8,51.4,50,49.48,48.38,48.75,48.27,48.6,49.15,50.3,49.7,51.6
2Yr,52,46.9,44.45,43.45,42.95,42.85,42.75,42.3,42.2,42.6,42.8,43.35,44.05,43.45,44.65
3Yr,40.75,39.35,39.15,39.05,39.65,39.75,39.65,40.6,40.33,40.05,38.95,40.7,41.65,39.25,41.88
4Yr,35.95,36.15,36.25,36.95,37.35,37.25,37.35,37.45,37,37.85,38.2,38.8,39.25,39.9,39.45
5Yr,34.45,34.55,35.25,35.55,35.55,35.65,35.85,36.3,35.1,36.25,36.35,36.9,37.35,37,37.35
6Yr,32.8,33.8,33.65,34.55,34.05,34.5,34.4,33.8,34.9,34.75,34.85,35.1,35.3,36.75,35.5
7Yr,32.65,32.75,32.65,32.95,33.45,33.55,33.65,33.6,33.6,33.75,33.8,33.35,33.95,32.55,33.95
8Yr,32.25,31.75,30.5,31.65,31.55,31.85,31.7,31.75,31.9,31.45,31.8,32.3,32.1,32.92,32
9Yr,31.35,31.1,30.45,30.75,30.65,30.8,30.95,31.05,31,30.8,31.1,31.55,31.15,30.4,30.75
10Yr,28.45,29.25,29.55,29.85,30.15,30.25,30.25,30.6,30.5,30.25,30.2,30.05,29.45,28.7,29.15
15Yr,28.45,29.2,29.5,29.48,29.7,29.55,29.4,29.13,27.8,28.05,27.43,26.55,26.65,25.55,25.88
20Yr,26.65,27.65,27.35,27.2,27.35,27.3,26.9,25.98,25.77,25.25,24.95,24.55,23.2,22.65,22.4
25Yr,25.6,25.4,25.5,25.6,25.7,25.4,25.2,25,24.9,24.7,24.4,24,23.1,23.9,22.15
30Yr,24,24.1,24.3,24.6,24.8,24.7,24.6,24.5,24.4,24.45,24.55,24.75,23.8,24.45,24
