Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.78625,0,2.78625,2.78625,0.99293
EDU08   ,2.8844,0,2.8844,2.91674,0.988325
EDZ08   ,3.1329,0,3.1329,3.00437,0.98056
EDH09   ,3.23071,0,3.23071,3.0897,0.972617
EDM09   ,3.42285,0,3.42285,3.18089,0.964274
EDU09   ,3.69434,0,3.69434,3.2827,0.955352
EDZ09   ,4.00519,0,4.00519,3.39587,0.945777
2 YR,3.486,0,3.486,3.49363,0.933075
3 YR,3.8625,0,3.8625,3.88356,0.891019
4 YR,4.1,0,4.1,4.13224,0.848884
5 YR,4.2585,0,4.2585,4.29992,0.808289
6 YR,4.402,0,4.402,4.45508,0.767689
7 YR,4.515,0,4.515,4.57883,0.728401
8 YR,4.612,0,4.612,4.68701,0.690296
9 YR,4.686,0,4.686,4.76999,0.654254
10 YR,4.751,0,4.751,4.8442,0.619457
11 YR,4.806,0,4.806,4.90794,0.586554
12 YR,4.8525,0,4.8525,4.96245,0.555311
15 YR,4.9515,0,4.9515,5.07957,0.471224
20 YR,5.033,0,5.033,5.17297,0.360076
25 YR,5.0625,0,5.0625,5.19711,0.277292
30 YR,5.08,0,5.08,5.21043,0.213714
40 YR,5.0805,0,5.0805,5.16847,0.129882
50 YR,5.067,0,5.067,5.09411,0.080839
