Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,108.4,68.25,62.2,51.38,46.63,40.35,36.13,33.03,30.9,29.07,28.9,26,24.1,23,23.2
3Mo,85.08,66.85,60.45,51.15,45.75,40.15,36.05,33.55,31.73,30.35,28.95,26.6,24.65,24.55,23.95
6Mo,77.15,65.85,57,47.05,42.4,37.9,35,33.05,31.55,30,28.6,26.3,24.83,24.45,23.73
9Mo,76.4,62.92,52.15,44.95,40.35,36.5,33.85,32.35,31,29.45,28.05,25.95,24.63,24.4,23.92
1Yr,73.65,59.88,49.05,42.67,38.58,35.15,33.05,31.65,30.55,29.05,27.75,25.7,24.75,24.3,23.7
2Yr,52.88,44.08,38.3,34.55,31.88,30.35,28.95,28.1,27.45,26.3,25.65,23.9,23.15,22.9,22.92
3Yr,36.85,33.58,30.77,28.77,27.9,26.73,25.82,25.65,25.25,24.35,23.75,22.5,21.95,21.8,21.42
4Yr,29.6,28.05,26.73,25.85,24.98,24.5,23.8,23.8,23.45,22.8,22.6,21.35,20.63,20.7,20.6
5Yr,25.6,25.13,24.45,23.65,23.48,22.93,22.4,22.45,22.25,21.65,21.5,20.3,19.85,19.75,19.65
6Yr,23.75,23.4,22.88,22.55,22.25,21.85,21.5,21.35,21.2,21,20.4,19.45,19.2,19.05,19
7Yr,22.48,22,21.85,21.23,20.9,20.93,20.38,20.55,20.55,20.05,20.05,18.75,18.25,18.45,18.15
8Yr,21.5,21.07,20.9,20.45,20.2,20.05,19.8,19.8,19.8,19.75,19,17.9,18.05,17.85,17.75
9Yr,20.65,20.2,19.98,19.7,19.45,19.33,19,19,19.05,19,18.55,17.85,17.57,17.55,17.3
10Yr,19.43,19.27,19.02,18.8,18.63,18.55,18.42,18.7,18.65,18.6,18.25,17.1,16.65,16.85,16.63
15Yr,17.35,17.25,17.15,16.95,16.85,16.8,16.7,16.65,16.6,16.45,15.9,15.05,14.85,14.8,14.8
20Yr,16.6,16.5,16.3,16.07,15.9,15.8,15.65,15.45,15.4,15.45,15,14.3,14.2,14.2,14.15
25Yr,15.85,15.6,15.4,15.2,14.95,14.85,14.75,14.7,14.65,14.65,14.3,13.75,13.8,13.65,13.35
30Yr,14.75,14.45,14.3,14.05,13.85,13.85,13.75,13.55,13.65,13.65,13.35,12.85,12.95,12.85,16.2
