Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,50.4,55.35,51.3,46.95,45.45,44.1,40.1,39.5,36.35,34.7,31.4,30.6,28.85,28.5,27.55
3Mo,46.55,47.05,43.2,41.2,39.9,37.7,35.55,33.98,32.8,31.05,29.7,27.35,26.13,25.8,24.85
6Mo,45.35,40.8,38.1,36.38,35.13,33.28,31.68,30.4,29.3,28,25.7,24.8,23.75,23.6,22.75
9Mo,41.9,37.95,35.7,34.27,33.25,31.67,30.3,28.35,27.65,26.48,25.43,23.9,23,22.8,22
1Yr,38.4,34.58,32.78,31.7,30.63,29.45,28.05,26.7,25.9,25.02,23.95,22.7,21.8,21.3,21.15
2Yr,28.7,27.75,27.05,26.45,25.8,24.83,24.27,23.9,23.3,22.45,21.55,20.6,19.95,19.9,19.38
3Yr,25.85,25.25,24.68,24,23.6,22.98,22.48,22.25,21.5,21.08,21.1,19.6,19.15,19.15,18.63
4Yr,23.77,23.3,22.75,22.27,21.85,21.45,20.95,20.85,20.5,19.9,19.2,18.7,18.23,18.05,17.8
5Yr,21.9,21.45,21.05,20.75,20.45,20.05,19.75,19.6,19.3,18.85,18.35,17.9,17.42,17.45,17.1
6Yr,20.9,20.1,20,19.75,19.3,19.1,18.7,18.5,18.25,17.9,17.4,16.7,16.45,16.3,16.2
7Yr,19.18,18.95,18.65,18.45,18.3,18.02,17.7,17.7,17.5,17.02,16.8,16.15,15.7,15.8,15.8
8Yr,18.15,17.8,17.65,17.5,17.2,16.95,16.75,16.6,16.45,16.25,15.9,15.45,15.2,14.9,14.9
9Yr,17.15,16.85,16.6,16.45,16.25,16,16.05,15.8,15.65,15.5,15.25,14.95,14.6,14.5,14.3
10Yr,16.2,16.4,15.95,15.88,16.1,15.55,15.38,15.4,15.2,14.95,14.65,14,13.75,13.75,13.63
15Yr,14.5,14.4,14.5,14.5,14.6,14.8,14.65,14.4,14.3,14.05,13.65,13.1,12.7,12.7,13.3
20Yr,21.75,14.4,14.35,14.1,14.15,13.8,13.5,13.3,13.1,12.95,12.7,12.4,12.2,12.2,12.1
25Yr,24.15,13.1,12.9,12.8,12.8,13.6,13.5,12.5,12.4,12.3,12.5,12.9,12.45,11.85,11.5
30Yr,28.4,15.05,15.25,15.55,15.7,15.4,15.15,15.05,14.75,14.6,13.95,13,11.5,11.55,11.4
