Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,90.63,83.65,76.55,63.27,56.02,54.02,57.48,50.97,53.88,56.58,53.38,53.1,52.63,51.35,52.58
3Mo,88.6,77.28,69.38,61.48,55.42,55.2,55.7,52.83,52.05,54.6,51.13,50.45,50.75,49.65,50.83
6Mo,87.4,76.22,64.9,59.47,55.88,54.97,52.27,49.1,51.2,52.5,51.23,48.9,49.75,48.23,48.2
9Mo,85.1,72,64.45,58.92,51.88,52.22,51.02,50.67,49.92,50.05,49.53,47,46.67,46.38,46.42
1Yr,81.7,70.95,60.95,57.03,53.23,51.67,50.58,47.33,48.6,48.48,46.05,45.13,45.5,44.67,45.7
2Yr,75.78,60.52,54.23,50.75,48.9,47.1,46,44.38,43.95,43.63,43.13,40.63,40.92,40.48,41.17
3Yr,59.5,51.65,46.95,44.25,42.63,40.05,40.98,40.9,39.9,39.05,39.47,38.15,38.53,37.83,37.6
4Yr,44.38,43.75,41.15,40.38,37.05,38.65,38.1,37.45,35.92,36.55,37.33,35.45,35.23,35.83,34.8
5Yr,42.7,39.6,38.98,32.73,37.55,37.47,37.05,36.7,35.45,36.4,35.7,34.65,35.1,34.5,34.3
6Yr,38.6,36.33,34.5,36.48,34.73,34.77,35.7,35.4,35.5,35.5,35.33,34.3,33.67,33.88,33.42
7Yr,34.77,35.65,35,34.92,33.88,34.23,33.97,37.55,34.48,34.55,35.27,35.15,33.48,33.33,33.1
8Yr,34.92,33.65,34.53,33.13,32.7,37.92,37.5,37.25,36.9,36.63,34.25,33,33.5,32.8,32.3
9Yr,32.1,32.6,32.58,35.53,32.72,34.67,32.13,34.47,34.38,34.22,33.67,32.6,31.7,32.08,30.83
10Yr,33.27,31.82,32.35,32.15,30.85,31.88,31.93,32.17,31.65,31.65,32.98,32.15,31.4,30.48,30.13
15Yr,32.23,31.98,32.1,32,32.1,32.13,32.15,32.3,32.45,32.3,30.48,31.07,29.73,29.8,30.35
20Yr,29.75,30.35,29.75,29.85,29.95,30.08,29.98,29.92,29.95,29.2,30.73,28.9,28.75,28.52,28.68
25Yr,29.4,29.3,29.38,29.42,29.57,29.63,29.63,29.73,29.77,29.9,29.68,29.3,28.88,28.85,28.7
30Yr,29.8,29.13,29.3,29.55,30.77,30.93,30.27,30.3,30.52,30.68,29.65,29.57,29.05,32.17,33.38
