Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,85.3,73.75,75.15,66.25,60.17,55.3,55.05,52.95,52.25,51.3,46.63,47.3,47.6,47.98,48.22
3Mo,87.68,76.3,69.07,63.2,59.55,55.1,53.13,51.58,50.6,49.45,47.65,46.9,45.65,45.73,45.05
6Mo,84.7,70.47,62.52,59.02,55.33,51.6,49.25,47.95,46.3,45.75,44.2,43.13,42.22,42.02,41.95
9Mo,82.15,68,60.05,55.45,52.15,48.3,46.4,45.42,44.25,43.02,42.65,40.75,40.35,40.33,40.1
1Yr,77.85,64.85,56.77,52,48.58,45.63,43.97,42.6,42.28,41.08,40.08,38.67,38.35,38.6,38.38
2Yr,66.33,53.4,46.7,43.03,41.15,39.65,38.83,37.83,37.13,36.3,35.35,34.58,34.17,34.08,33.9
3Yr,50.63,43.98,39.98,37.6,36.38,35.7,34.52,34.65,34.05,33.17,33.48,32.13,31.57,31.65,31.52
4Yr,40.73,37,35.08,33.97,33.13,32.88,32.48,32.1,31.8,31.3,31,30.85,30.23,30.45,30.2
5Yr,34.88,33.4,32.58,31.9,31.42,31.15,30.85,30.77,30.68,30.27,29.8,29.82,29.27,29.4,29.35
6Yr,32.38,31.85,31.32,30.93,30.48,30.3,30,29.85,29.73,29.83,29.67,29.35,29,29,28.98
7Yr,31.27,30.65,30.1,29.75,29.3,29,29.05,29.15,29.2,29.27,28.65,28.35,28.2,28.25,28.4
8Yr,30.5,30.15,29.82,29.08,28.95,28.9,28.83,28.65,28.75,28.85,28.6,28.2,27.9,27.82,27.8
9Yr,29.82,29.48,29.08,28.67,28.43,28.63,28.48,28.57,28.68,28.68,28.4,27.4,27.55,26.82,27.32
10Yr,28.92,28.6,28.17,28.27,28.1,28.18,28.05,28.48,28.48,28.3,27.35,27.5,26.38,26.4,26.23
15Yr,28,28.05,28,28.05,28,28.08,28.02,28.15,28.15,28.02,27.33,27.35,26.48,26.52,26.77
20Yr,27,26.38,26.88,26.45,26.8,26.5,26.85,26.65,26.65,26.75,26.8,25.8,25.5,25,25.65
25Yr,26.3,26.2,26.15,26.27,26.05,26.35,26.35,26.3,26.55,26.5,26.73,26.1,26.02,25.82,26.17
30Yr,26.2,25.9,25.95,26.25,26.35,26.55,26.8,27.25,26.65,26.98,26.35,26.67,25.83,26.77,27.98
