Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.14875,0,2.14875,2.14875,0.994539
EDZ08   ,2.19468,0,2.19468,2.19016,0.992705
EDH09   ,2.04816,0,2.04816,2.15183,0.987592
EDM09   ,2.07085,0,2.07085,2.14326,0.98245
EDU09   ,2.14275,0,2.14275,2.15001,0.977157
EDZ09   ,2.30387,0,2.30387,2.18041,0.971499
EDH10   ,2.37926,0,2.37926,2.22103,0.965691
2 YR,2.35135,0,2.35135,2.3544,0.954266
3 YR,2.7975,0,2.7975,2.81325,0.919606
4 YR,3.189,0,3.189,3.2224,0.879813
5 YR,3.4905,0,3.4905,3.54268,0.838886
6 YR,3.713,0,3.713,3.7822,0.798666
7 YR,3.891,0,3.891,3.97667,0.75909
8 YR,4.02,0,4.02,4.11842,0.721714
9 YR,4.1105,0,4.1105,4.21751,0.686857
10 YR,4.177,0,4.177,4.28982,0.653978
11 YR,4.1745,0,4.1745,4.27643,0.627779
12 YR,4.2425,0,4.2425,4.35715,0.596162
15 YR,4.2725,0,4.2725,4.37459,0.522508
20 YR,4.258,0,4.258,4.32718,0.42477
25 YR,4.245,0,4.245,4.2915,0.345927
30 YR,4.247,0,4.247,4.28669,0.280153
40 YR,4.251,0,4.251,4.27978,0.18381
50 YR,2.9264,0,2.9264,2.02716,0.364754
