Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.7875,0,2.7875,2.7875,0.992927
EDU08   ,2.94408,0,2.94408,2.93689,0.986806
EDZ08   ,3.18729,0,3.18729,3.03069,0.978919
EDH09   ,3.32475,0,3.32475,3.12981,0.970761
EDM09   ,3.52649,0,3.52649,3.23091,0.962183
EDU09   ,3.77251,0,3.77251,3.33433,0.953095
EDZ09   ,4.04784,0,4.04784,3.44291,0.943441
2 YR,3.58,0,3.58,3.58959,0.931041
3 YR,3.926,0,3.926,3.94753,0.88915
4 YR,4.1495,0,4.1495,4.18152,0.847439
5 YR,4.2985,0,4.2985,4.33884,0.806846
6 YR,4.4135,0,4.4135,4.46192,0.76738
7 YR,4.5135,0,4.5135,4.57108,0.728787
8 YR,4.596,0,4.596,4.66239,0.691449
9 YR,4.6605,0,4.6605,4.73444,0.656302
10 YR,4.7145,0,4.7145,4.79544,0.622579
11 YR,4.7625,0,4.7625,4.85072,0.590248
12 YR,4.8055,0,4.8055,4.90124,0.559307
15 YR,4.894,0,4.894,5.00553,0.476357
20 YR,4.9715,0,4.9715,5.0958,0.365535
25 YR,5.005,0,5.005,5.12974,0.281803
30 YR,5.0105,0,5.0105,5.11898,0.219415
40 YR,5.0115,0,5.0115,5.08425,0.134163
50 YR,5.00175,0,5.00175,5.02723,0.08353
