Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,4.5025,0,4.5025,4.5025,0.988625
EDZ08   ,2.73416,0,2.73416,3.46312,0.985984
EDH09   ,2.36203,0,2.36203,3.07171,0.980132
EDM09   ,2.31395,0,2.31395,2.88072,0.974432
EDU09   ,2.38494,0,2.38494,2.78068,0.968593
EDZ09   ,2.64499,0,2.64499,2.75787,0.96216
EDH10   ,2.83915,0,2.83915,2.78112,0.955304
2 YR,2.9795,0,2.9795,2.98159,0.942526
3 YR,3.433,0,3.433,3.45122,0.90244
4 YR,3.77,0,3.77,3.80529,0.859855
5 YR,4.004,0,4.004,4.05444,0.818071
6 YR,4.189,0,4.189,4.25452,0.776783
7 YR,4.328,0,4.328,4.40645,0.737048
8 YR,4.4325,0,4.4325,4.52152,0.699288
9 YR,4.4985,0,4.4985,4.59281,0.664528
10 YR,4.546,0,4.546,4.64337,0.631736
11 YR,4.572,0,4.572,4.66833,0.601852
12 YR,4.581,0,4.581,4.67232,0.574515
15 YR,4.569,0,4.569,4.63739,0.502748
20 YR,4.51,0,4.51,4.53269,0.408029
25 YR,4.472,0,4.472,4.46485,0.331564
30 YR,4.435,0,4.435,4.39701,0.271224
40 YR,4.368,0,4.368,4.26144,0.185135
50 YR,4.3415,0,4.3415,4.20749,0.124676
