Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,1.46625,0,1.46625,1.46625,0.996348
EDH09   ,1.21427,0,1.21427,1.35302,0.993541
EDM09   ,1.28296,0,1.28296,1.33975,0.990329
EDU09   ,1.40113,0,1.40113,1.36006,0.986834
EDZ09   ,1.5538,0,1.5538,1.40046,0.982973
EDH10   ,1.65597,0,1.65597,1.45,0.978876
EDM10   ,1.83765,0,1.83765,1.51206,0.97435
2 YR,1.6165,0,1.6165,1.61906,0.968264
3 YR,1.8745,0,1.8745,1.88155,0.94517
4 YR,2.0316,0,2.0316,2.04242,0.921933
5 YR,2.187,0,2.187,2.20348,0.896218
6 YR,2.286,0,2.286,2.30637,0.871456
7 YR,2.36275,0,2.36275,2.38664,0.846982
8 YR,2.422,0,2.422,2.44881,0.822846
9 YR,2.464,0,2.464,2.49281,0.799977
10 YR,2.5015,0,2.5015,2.53254,0.777506
11 YR,2.5285,0,2.5285,2.56084,0.755856
12 YR,2.6055,0,2.6055,2.64857,0.729248
15 YR,2.6895,0,2.6895,2.74096,0.664594
20 YR,2.6645,0,2.6645,2.69644,0.585137
25 YR,2.6345,0,2.6345,2.6497,0.517695
30 YR,2.6245,0,2.6245,2.63273,0.456106
40 YR,2.615,0,2.615,2.6151,0.353716
50 YR,2.9264,0,2.9264,3.24568,0.199926
