Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.09875,0,2.09875,2.09875,0.994781
EDZ08   ,1.94745,0,1.94745,1.96033,0.994811
EDH09   ,1.63868,0,1.63868,1.82497,0.990708
EDM09   ,1.65662,0,1.65662,1.78355,0.986576
EDU09   ,1.74378,0,1.74378,1.77947,0.982247
EDZ09   ,1.89518,0,1.89518,1.80349,0.977564
EDH10   ,1.96584,0,1.96584,1.8381,0.97273
2 YR,1.9275,0,1.9275,1.9291,0.962279
3 YR,2.1655,0,2.1655,2.17218,0.937242
4 YR,2.379,0,2.379,2.3925,0.909253
5 YR,2.52275,0,2.52275,2.54189,0.881356
6 YR,2.64815,0,2.64815,2.67377,0.852686
7 YR,2.7545,0,2.7545,2.78683,0.823752
8 YR,2.827,0,2.827,2.86395,0.796529
9 YR,2.877,0,2.877,2.91683,0.770574
10 YR,2.91975,0,2.91975,2.96246,0.745222
11 YR,2.9425,0,2.9425,2.98544,0.721826
12 YR,2.9445,0,2.9445,2.98423,0.700734
15 YR,2.922,0,2.922,2.94887,0.644615
20 YR,2.84,0,2.84,2.83826,0.569121
25 YR,2.754,0,2.754,2.7234,0.508517
30 YR,2.697,0,2.697,2.6478,0.454208
40 YR,2.708,0,2.708,2.676,0.345263
50 YR,2.723,0,2.723,2.70862,0.260482
