Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,87.25,90.2,83.25,78.35,76.05,73.55,72.05,72.1,71.5,71.65,74.35,78.45,82.25,82.5,85.25
3Mo,88.15,82.95,76.25,70.65,67.85,64.95,62.95,62.3,61.35,60.35,48.6,63.35,69.65,66.85,71.75
6Mo,80.35,74.45,67.85,62.65,60.15,57.85,56.45,55.9,55.05,54.25,57.25,55.6,58.25,57.9,60.95
9Mo,74,67.75,61.55,57.25,55.3,53.4,52.4,53.45,53.25,50.6,52.05,54.3,53.65,56.65,55.7
1Yr,67.15,60.55,54.75,51.35,49.95,48.45,47.85,47.45,46.9,46.45,46.78,47.35,48.55,49.7,49.95
2Yr,50.45,45.55,43.05,42.05,41.45,41.25,41.05,40.9,40.9,40.85,42.8,42.05,42.45,43.25,43.25
3Yr,39.65,38.15,37.85,37.65,38.15,38.15,37.95,38.2,40.4,38.45,38.95,39.45,40.15,40.8,40.65
4Yr,34.65,34.85,34.85,35.45,35.65,35.55,35.65,36.1,36.3,36.25,36.65,37.27,37.75,38.6,38.15
5Yr,33.15,33.15,33.75,33.95,33.75,33.95,34.25,34.7,34.8,34.75,36.35,35.8,36.05,36.4,36.15
6Yr,32.75,33.65,33.7,33.85,34.05,34.25,34.45,34.45,34.45,34.45,34.45,34.45,34.45,34.45,34.45
7Yr,31.05,31.05,30.85,31.15,31.75,32.05,32.15,32.5,32.6,32.35,33.8,33,32.75,32.95,32.85
8Yr,32.05,32.2,32.35,32.5,31.6,31.9,31.85,31.8,31.75,31.75,31.8,31.95,32.15,33,32.05
9Yr,30.45,30.45,30.45,30.8,30.8,30.85,30.85,30.9,30.9,30.95,31,31.05,31.2,31.2,31.2
10Yr,27.15,28.05,28.55,28.95,29.25,29.25,29.35,29.6,29.6,29.35,29.45,29.6,28.65,28.25,28.25
15Yr,28,28.3,28.6,30.75,31.4,30.8,30.42,29.83,28.5,28.2,27.65,26.85,26.35,26,26.7
20Yr,27.6,27.35,27.6,27.7,27.8,27.5,27.1,26.8,26.4,25.88,25.27,24.45,23.85,23.7,23.55
25Yr,25.1,25,25,25.1,25.2,25,24.7,24.5,24.3,24.1,23.8,23.4,23.65,23.2,22.6
30Yr,23.5,23.5,23.7,23.9,24.1,23.9,23.8,23.7,23.5,24.8,24.9,25.05,23.8,24.8,23.2
