Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,109.68,82.63,71.5,62.23,55.48,51.4,52.98,51.45,50,50.63,43.8,44.55,44.9,43.83,44.1
3Mo,105.75,79.95,70.65,61.48,55.6,52.38,51.3,49.15,48.55,48.38,45.88,43.92,42.15,42.23,42.35
6Mo,98.57,76.35,65.75,59.5,54.9,51.35,49.33,46.83,46.35,45.45,43.08,41.02,39.23,39.5,40.38
9Mo,94.88,73.75,63.25,56.72,52.38,49.08,46.65,45.58,44.45,43.38,42.17,38.8,37.3,37.1,38.02
1Yr,89.78,69.15,60.45,53.77,49.95,46.73,45.05,43.58,43,41.55,39.92,37.1,35.7,35.5,35.58
2Yr,74.9,58.92,49.5,44.65,42.15,40.5,39.08,38.2,37.3,36.55,35.2,33.85,32.65,32.35,31.82
3Yr,55.08,45.85,41.9,39.15,37.2,36.02,35,34.88,34.15,33.2,33.17,31.45,30.55,30.4,30.2
4Yr,42.42,38.53,36.08,34.63,33.6,33.15,32.55,32,31.7,31.08,30.55,29.88,28.95,28.75,28.7
5Yr,36.52,34.4,33.25,32.45,31.77,31.15,30.65,30.65,30.3,29.88,29.17,28.55,27.9,27.85,27.75
6Yr,33.25,32.17,31.38,30.8,30.25,29.82,29.58,29.33,29.25,28.85,28.75,28.02,27.43,27.2,27.1
7Yr,31.38,30.6,29.88,29.23,28.67,28.5,28.23,28.35,28.15,28.27,27.85,27.15,26.42,26.55,26.48
8Yr,29.8,29.2,28.7,28.15,28.05,27.73,27.67,27.45,27.55,27.45,27.35,26.6,26.1,25.88,25.92
9Yr,28.4,27.95,27.3,27.15,26.95,26.85,26.55,26.7,26.77,26.8,26.48,25.8,25.4,25.15,25.1
10Yr,27.3,27.05,26.73,26.45,26.27,26.33,26.25,26.5,26.65,26.45,26,25.55,24.7,24.8,24.9
15Yr,25.32,24.8,25,25.63,25.42,25.6,25.65,25.8,25.82,25.6,24.73,24.15,23.95,23.85,23.65
20Yr,23.9,24.02,24.07,24.13,24.02,24.35,23.98,24.08,24.15,24.07,24.75,22.95,23.2,23.57,23.43
25Yr,24.1,23.98,23.5,23.9,23.98,23.95,24.02,24.1,24.1,24.15,25,24.38,24.75,25.25,24.3
30Yr,25.25,25.33,25.43,25.57,25.65,25.7,25.77,25.77,25.85,26.13,24.23,26.85,27.65,27.55,26.85
