Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,1.525,0,1.525,1.525,0.99616
EDH09   ,1.19923,0,1.19923,1.37543,0.993359
EDM09   ,1.28288,0,1.28288,1.35468,0.990148
EDU09   ,1.38101,0,1.38101,1.36589,0.986704
EDZ09   ,1.50861,0,1.50861,1.39564,0.982955
EDH10   ,1.58571,0,1.58571,1.4338,0.979031
EDM10   ,1.74731,0,1.74731,1.48473,0.974726
2 YR,1.5275,0,1.5275,1.52893,0.969997
3 YR,1.7235,0,1.7235,1.72815,0.949688
4 YR,1.88925,0,1.88925,1.89796,0.927127
5 YR,2.00425,0,2.00425,2.0165,0.904498
6 YR,2.0975,0,2.0975,2.11336,0.881494
7 YR,2.177,0,2.177,2.19665,0.858192
8 YR,2.2307,0,2.2307,2.25283,0.835923
9 YR,2.275,0,2.275,2.29945,0.81402
10 YR,2.32775,0,2.32775,2.35632,0.791057
11 YR,2.3605,0,2.3605,2.39115,0.769871
12 YR,2.4095,0,2.4095,2.4455,0.747007
15 YR,2.476,0,2.476,2.51706,0.68715
20 YR,2.4445,0,2.4445,2.46782,0.612294
25 YR,2.393,0,2.393,2.39608,0.551309
30 YR,2.363,0,2.363,2.35436,0.495502
40 YR,2.34575,0,2.34575,2.33071,0.395781
50 YR,2.9264,0,2.9264,3.55372,0.171811
