Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.8025,0,2.8025,2.8025,0.992812
EDU08   ,2.81969,0,2.81969,2.87141,0.990071
EDZ08   ,2.97351,0,2.97351,2.9188,0.982685
EDH09   ,3.03672,0,3.03672,2.97647,0.975199
EDM09   ,3.20434,0,3.20434,3.04705,0.967364
EDU09   ,3.44638,0,3.44638,3.131,0.959009
EDZ09   ,3.74785,0,3.74785,3.23106,0.950009
2 YR,3.3965,0,3.3965,3.40426,0.934716
3 YR,3.7545,0,3.7545,3.77447,0.893884
4 YR,3.9915,0,3.9915,4.02245,0.852551
5 YR,4.1645,0,4.1645,4.20592,0.812019
6 YR,4.3095,0,4.3095,4.36242,0.771876
7 YR,4.435,0,4.435,4.5004,0.732321
8 YR,4.536,0,4.536,4.61292,0.694306
9 YR,4.616,0,4.616,4.70288,0.658126
10 YR,4.6865,0,4.6865,4.78361,0.623135
11 YR,4.7365,0,4.7365,4.84027,0.590833
12 YR,4.791,0,4.791,4.90526,0.559043
15 YR,4.899,0,4.899,5.0339,0.474384
20 YR,4.985,0,4.985,5.13236,0.362938
25 YR,5.0205,0,5.0205,5.16585,0.279412
30 YR,5.034,0,5.034,5.16878,0.216334
40 YR,5.034,0,5.034,5.12479,0.132114
50 YR,5.023,0,5.023,5.05923,0.082226
