Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,69.05,67.4,64.3,57.2,50.35,48.85,51.25,49.45,48.85,48.5,51.8,45.23,45.25,43.92,44.78
3Mo,73.95,68.03,61.55,56.2,52.25,51.35,51.55,49.25,48.75,48.3,47.05,44.83,44.08,43.5,44.38
6Mo,71.88,71.85,60.33,55.48,52.17,50.4,49.95,48.5,47.5,47.27,46.35,43.83,43.5,42.78,43.35
9Mo,73.55,68.75,58.45,53.88,51.05,49.4,48.17,47.42,46.67,45.67,45.08,42.75,42.1,41.8,41.85
1Yr,75.1,67.18,58.33,54.1,50.67,48.42,46.7,46.13,44.9,45.1,42.58,41.67,41.8,40.85,42.42
2Yr,76.03,59.98,52.63,48.17,46.17,44.33,42.73,41.55,40.45,40.53,39.35,37.7,37.97,37.27,37.83
3Yr,56.77,49.9,45.1,42.58,40.75,39.98,38.85,37.67,37.4,37,36.33,35.1,35.5,34.55,34.45
4Yr,46.67,42.58,40.15,38.58,37.65,36.95,35.58,34.95,35.05,34.83,34.27,33.48,33.67,33.13,33.05
5Yr,40.65,38.05,37.23,36.33,35.58,35.02,34.4,33.25,33.5,33.6,33.05,32.65,32.83,31.95,31.85
6Yr,36.35,35.58,33.98,34.05,33.25,32.9,32.42,31.65,31.75,31.75,32.42,31.63,31.57,31.4,31.27
7Yr,34.6,34.17,33.7,33,32.4,32.13,31.82,31.5,31.55,32.15,31.8,30.55,31.13,30.67,30.93
8Yr,32.98,32.3,32.02,30.9,30.75,30.7,30.7,30.25,30.35,30.45,30.75,30.48,30.07,29.88,29.45
9Yr,32.17,31.1,30.58,30.05,29.77,29.8,29.65,29.45,29.98,29.65,30.02,29.63,29.27,29.15,28.43
10Yr,31.02,30.5,30.1,29.8,29.35,29.77,29.82,29.7,29.88,30.17,29.9,29.2,29.02,28.2,28.3
15Yr,29.32,29.52,29.65,29.3,29.43,29.75,29.32,29.8,29.92,29.32,28.45,28.4,27.55,27.75,27.98
20Yr,27.88,27.63,27.77,27.85,27.98,27.88,27.82,27.75,27.88,27.05,27.9,26.55,26.2,26.6,26.15
25Yr,27.38,27.27,26.8,26.75,27.43,27,26.9,27.45,27,27,27.35,26.73,26.5,26.58,26.48
30Yr,27.2,27.15,27.52,27.27,28.02,27.77,27.98,27.77,28,28.05,26.95,27.77,26.55,26.45,28.82
