Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,4.05875,0,4.05875,4.05875,0.989734
EDZ08   ,2.5193,0,2.5193,3.14157,0.987438
EDH09   ,2.33247,0,2.33247,2.85739,0.98165
EDM09   ,2.3298,0,2.3298,2.72871,0.975903
EDU09   ,2.38132,0,2.38132,2.66048,0.970063
EDZ09   ,2.58704,0,2.58704,2.64873,0.963761
EDH10   ,2.74697,0,2.74697,2.67419,0.957115
2 YR,2.788,0,2.788,2.78908,0.94611
3 YR,3.2195,0,3.2195,3.23508,0.908052
4 YR,3.5435,0,3.5435,3.57483,0.867855
5 YR,3.775,0,3.775,3.82063,0.827596
6 YR,3.9585,0,3.9585,4.01841,0.78764
7 YR,4.0725,0,4.0725,4.14099,0.75058
8 YR,4.1835,0,4.1835,4.2636,0.713383
9 YR,4.25,0,4.25,4.3356,0.679666
10 YR,4.2875,0,4.2875,4.37386,0.648773
11 YR,4.338,0,4.338,4.4307,0.617512
12 YR,4.354,0,4.354,4.44399,0.590113
15 YR,4.3775,0,4.3775,4.45751,0.516125
20 YR,4.382,0,4.382,4.44309,0.415192
25 YR,4.381,0,4.381,4.42834,0.334456
30 YR,4.369,0,4.369,4.39728,0.271202
40 YR,4.3855,0,4.3855,4.41964,0.174016
50 YR,4.4135,0,4.4135,4.48812,0.108691
