Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.79125,0,2.79125,2.79125,0.992917
EDU08   ,2.92915,0,2.92915,2.93369,0.987139
EDZ08   ,3.15239,0,3.15239,3.0174,0.979336
EDH09   ,3.27489,0,3.27489,3.10772,0.971295
EDM09   ,3.48167,0,3.48167,3.20477,0.962821
EDU09   ,3.73274,0,3.73274,3.30648,0.953822
EDZ09   ,4.01311,0,4.01311,3.4147,0.944243
2 YR,3.5545,0,3.5545,3.56398,0.931786
3 YR,3.91,0,3.91,3.9317,0.889757
4 YR,4.132,0,4.132,4.16377,0.847834
5 YR,4.2785,0,4.2785,4.31839,0.807558
6 YR,4.3925,0,4.3925,4.4404,0.768351
7 YR,4.5,0,4.5,4.55828,0.729426
8 YR,4.5845,0,4.5845,4.65195,0.692191
9 YR,4.6505,0,4.6505,4.72563,0.656811
10 YR,4.7075,0,4.7075,4.79024,0.622731
11 YR,4.748,0,4.748,4.83559,0.59113
12 YR,4.798,0,4.798,4.89559,0.559676
15 YR,4.8915,0,4.8915,5.00656,0.476285
20 YR,4.9605,0,4.9605,5.08277,0.366465
25 YR,4.993,0,4.993,5.11526,0.282879
30 YR,4.9995,0,4.9995,5.107,0.220278
40 YR,5.004,0,5.004,5.08126,0.134376
50 YR,4.973,0,4.973,4.95254,0.086618
