Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,81.5,77,67.15,61.75,58.7,54.33,51.6,48.45,46.38,45.35,46.1,47.3,49,48.33,51.2
3Mo,76.6,66.35,56.95,52.45,49.75,46.6,44,41.83,40.6,39.15,39.6,39,40.85,38.73,42.2
6Mo,68.5,57.8,50.5,46.05,43.58,41.1,39.15,37.8,36.6,35.45,35.6,35.1,36.27,34.83,36.73
9Mo,61.5,51.6,45.33,42,40.02,38.25,36.27,34.9,34.3,33.28,33.45,33.8,34.1,34.5,34.47
1Yr,53.88,44.25,40.2,37.95,36.65,34.85,33.58,32.4,31.95,31.25,31.3,31.55,31.92,32.15,32.7
2Yr,34.4,32.33,31.1,30.32,29.65,29,28.35,28.05,27.8,27.45,27.95,28,28.55,28.8,28.68
3Yr,28.9,28.18,27.68,27.15,26.95,26.48,26.25,26.25,27.07,25.9,27.75,26.75,27.13,27.3,27.15
4Yr,26.15,25.7,25.23,25.05,25.15,24.82,24.75,24.8,24.67,24.85,25.6,25.6,25.75,25.8,26.5
5Yr,23.8,23.55,23.32,23.4,23.4,23.45,23.45,23.7,23.55,23.57,24.25,24.3,24.55,24.55,25
6Yr,22.15,21.9,22.1,22.35,22.55,22.65,22.65,24.15,22.9,22.8,23.2,23.9,24.35,24.65,23.1
7Yr,21.08,21.3,21.5,21.63,21.98,22.18,22.2,22.45,22.5,22.23,23.9,22.7,23,23.52,22.4
8Yr,21.05,20.15,20.55,20.95,21.25,21.5,21.55,21.6,21.65,21.55,22,22.7,23,23,21.4
9Yr,20.1,19.75,20.2,20.6,20.9,20.9,21.15,21.05,21.05,20.95,21.25,21.75,21.85,22.8,20.65
10Yr,19.68,20,20.7,20.68,20.93,20.9,20.85,20.92,21,20.48,21.6,20.4,20.1,19.92,19.85
15Yr,19.9,19.5,19.52,19.5,19.45,19.3,19.1,18.85,18.63,18.55,18.45,18.3,17.85,17.3,18.4
20Yr,19.05,18.3,18.65,18.55,18.48,18.6,17.8,17.73,17.63,17.48,17.17,16.75,16.2,15.8,16.7
25Yr,17.8,17.8,17.7,17.6,17.6,17.4,17.3,16.8,17,16.4,15.95,15.3,16.1,14.65,14.6
30Yr,17.1,17.1,17.1,16.7,16.5,12.7,10,12.25,13.8,15.1,14.8,14.4,14.2,13.95,13.65
