Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,64.75,59.15,56.45,48.65,42.9,41.42,44.4,42.45,44.67,44.53,46.55,42.85,43.13,43.05,44.08
3Mo,71.18,62.22,56.13,50.67,46.95,47.45,47.15,46.83,46.85,46.38,44.85,44.13,43.85,43.48,44.27
6Mo,69.68,64.1,55.45,50.35,47.6,46.98,47.15,46.78,46.63,46.4,46.38,43.75,43.72,42.63,43.33
9Mo,70.55,62.95,53.3,49.35,47.08,46.35,46.05,45.77,45.55,44.95,44.5,42.72,42.23,42.02,42.2
1Yr,70.78,59.73,51.25,48.25,46.2,44.95,44.85,44.5,44.38,43.88,41.78,41.42,41.4,40.75,40.8
2Yr,70.5,56.33,49.42,45.75,43.88,42.65,41.63,41,39.65,39.63,39.7,36.92,37.05,36.5,36.55
3Yr,55.3,47.5,43.38,41.1,40.02,39.05,38.22,37.67,36.98,36.4,36.85,34.65,34.65,33.95,33.72
4Yr,45.2,41.35,39.2,38.02,37.15,36.55,35.77,35.13,34.7,34.45,35.05,33.2,33.25,32.75,32.52
5Yr,39.83,37.73,36.83,35.83,35.52,34.88,34.2,33.63,33.33,33.38,33.9,32.27,32.13,31.95,32.13
6Yr,36.15,35.28,34.5,33.85,33.15,32.85,32.45,31.6,31.6,31.6,32.38,31.45,31.2,30.98,30.9
7Yr,35.1,34.5,33.4,33.05,32.33,32.05,31.7,31.35,31.27,31.98,32.58,30.73,30.83,30.23,30.02
8Yr,33.67,33,32.2,31.35,30.88,30.82,30.7,30.17,30.27,30.27,30.77,30.1,29.73,29.55,29.4
9Yr,32.75,31.72,30.95,30.5,30.17,30.25,30.1,29.68,30.38,30,30.18,29.67,29.27,28.88,28.88
10Yr,31.38,30.48,30.27,30.1,29.88,29.77,30.07,30,30.13,30.45,31.05,29.18,28.9,28.35,28.57
15Yr,30.05,29.82,30.05,30.13,30.27,30.27,30.15,30.25,30.27,30.05,28.52,28.3,27.52,27.93,27.93
20Yr,28.38,28.33,28.35,28.27,28.07,28.3,28.13,28.02,27.98,27.1,28,26.65,26.32,26.43,26.5
25Yr,28.05,27.95,27.95,27.95,27.98,27.93,27.82,27.8,27.7,27.42,27.3,25.85,26.02,26.33,26.35
30Yr,27.52,27.52,27.67,27.58,28,28.07,27.52,27.45,28.02,27.65,26.77,27.18,26.68,26.25,25.7
