Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,77.1,77.55,69.45,63.55,60.2,56.35,53.35,51.3,48.75,47.1,47.7,48.5,52.3,50.2,53.3
3Mo,77,70.4,61.05,55.35,52.05,48.85,46.35,44.7,42.7,40.95,41.2,41.4,42.35,42.25,43.45
6Mo,70.85,62.35,53.95,48.95,46.15,43.65,41.75,40.3,38.8,37.45,37.75,37.7,37.85,38.5,38.4
9Mo,64.43,55.23,48.98,45.1,42.9,40.8,39.15,37.9,36.95,35.65,35.7,35.85,36.03,36.35,36.3
1Yr,57.35,48.05,43.8,41,39.4,37.7,36.5,35.2,34.45,33.3,33.52,33.9,33.97,34.4,34
2Yr,37.95,35.05,33.55,32.75,32.05,31.45,30.65,30.3,29.9,29.25,29.55,30.1,30.45,30.7,30.52
3Yr,31.2,30.5,30.15,29.6,29.48,28.8,28.43,28.3,29.2,27.77,24.13,28.6,28.95,29.4,29.15
4Yr,28.2,27.93,27.75,27.48,27.3,27,26.73,27,26.7,26.55,26.85,27.4,27.45,28.1,27.9
5Yr,26,26.1,26.15,25.7,25.65,25.48,25.35,25.45,25.4,25.45,25.7,25.85,26.1,25.9,25.9
6Yr,24.05,23.8,24.15,24.25,24.4,24.4,24.3,24.35,24.4,24.2,24.3,24.5,24.6,24.55,22.7
7Yr,22.75,22.95,23.6,23.9,23.73,23.77,24.05,23.85,23.85,23.9,23.8,23.9,24.55,23.75,24.5
8Yr,22.7,21.8,22.25,22.55,22.85,22.8,22.95,22.9,22.95,22.8,22.95,23.25,23.2,22.75,20.9
9Yr,21.3,21.3,21.7,22.05,22.25,22.1,22.35,22.25,22.25,22.2,22.4,22.75,22.55,21.35,21.05
10Yr,20.75,21.15,21.45,21.75,21.95,21.95,21.85,22,21.9,21.45,23.25,21.3,21.2,21.3,21.1
15Yr,20.8,21,21,21.3,21.4,21.3,20.8,20.9,20.05,19.95,19.75,19.45,18.95,18.4,19.4
20Yr,20.4,19.9,19.75,19.55,19.45,19.35,19.25,19.1,18.95,18.4,18.1,17.65,17.15,16.6,18
25Yr,19.1,19,19,18.9,18.9,18.6,18.3,17.7,16.45,17.35,16.8,16.05,15.5,15.1,15.05
30Yr,18.6,18.5,17.8,17.5,17.3,13.4,10.55,12.95,14.7,16,15.6,15.1,14.7,14.3,14.1
