Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.81,0,2.81,2.81,0.992793
EDU08   ,2.82982,0,2.82982,2.88939,0.991273
EDZ08   ,3.05364,0,3.05364,2.96895,0.98368
EDH09   ,3.0818,0,3.0818,3.02867,0.976076
EDM09   ,3.2093,0,3.2093,3.09119,0.968221
EDU09   ,3.40618,0,3.40618,3.16169,0.959956
EDZ09   ,3.67742,0,3.67742,3.24812,0.951115
2 YR,3.411,0,3.411,3.41798,0.934464
3 YR,3.7425,0,3.7425,3.76061,0.893972
4 YR,3.9685,0,3.9685,3.99734,0.853486
5 YR,4.128,0,4.128,4.16621,0.813694
6 YR,4.259,0,4.259,4.30712,0.774387
7 YR,4.373,0,4.373,4.43205,0.735757
8 YR,4.4635,0,4.4635,4.53226,0.698439
9 YR,4.5255,0,4.5255,4.60058,0.663906
10 YR,4.584,0,4.584,4.66682,0.63037
11 YR,4.639,0,4.639,4.73072,0.597907
12 YR,4.687,0,4.687,4.78731,0.566822
15 YR,4.781,0,4.781,4.89757,0.483814
20 YR,4.8605,0,4.8605,4.98884,0.37314
25 YR,4.8835,0,4.8835,5.00264,0.290635
30 YR,4.8935,0,4.8935,5.00208,0.227145
40 YR,4.8935,0,4.8935,4.96564,0.140577
50 YR,4.8635,0,4.8635,4.84504,0.091296
