Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,100.3,78.95,72.07,66.22,59.55,58.15,58,57.65,56.9,58.2,55.15,55.3,57.25,57.6,57.33
3Mo,87.97,75.9,62.5,59.52,57.7,55.45,54.3,53.77,53.55,52.83,51.67,51.28,50.4,50.8,51.38
6Mo,84,69.2,58.33,56.58,54.95,52.1,50.75,50.15,49.7,48.9,49.52,46.8,46,46.4,46.48
9Mo,78.88,64.9,57.77,54.35,51.95,49.5,48.33,47.83,47.15,46.45,45.88,43.95,43.45,43.5,43.8
1Yr,75.95,62.13,56.27,52.05,49.6,47.22,46.2,45.73,45.17,44.35,43.05,41.5,41.1,41.5,41.6
2Yr,64.78,54.35,47.67,45.02,43.48,42.1,41.38,40.95,40.2,39.58,40.9,37.67,37,37.4,37.1
3Yr,52.83,46.1,42.5,40.4,39.33,38.52,38,37.5,37.13,36.17,36.58,35.1,34.73,34.7,34.67
4Yr,43.33,40.05,38,37.4,36.55,35.98,35.3,35.2,34.88,34.28,36,33.88,32.92,33.78,33.6
5Yr,38.45,36.7,36.02,35.42,34.83,34.45,33.8,33.83,33.65,33.55,34.7,32.65,32.3,32.8,32.8
6Yr,35.6,35.4,34.77,34.38,33.88,33.4,33,32.5,32.8,32.8,32.73,32.38,32.25,32.25,32.13
7Yr,34.85,34.52,34.1,33.38,32.85,32.52,32.25,32.1,32.1,32.17,33.48,31.95,31.1,31.25,31.25
8Yr,34.17,33.75,33.05,31.92,31.95,31.85,31.88,31.6,31.65,31.85,31.75,31.1,31.05,31,30.43
9Yr,33,32.33,31.93,31.32,31.1,31.17,30.9,31.15,31.25,31.2,30.98,30.5,30.38,30.77,29.65
10Yr,31.88,31.15,30.7,30.9,30.8,30.58,30.7,31.15,31.1,30.92,31.9,30.27,29.45,29.35,29.3
15Yr,30.45,30.68,30.67,30.63,30.5,30.5,30.38,30.48,30.58,30.3,30,29.8,29.1,29,28.6
20Yr,28.6,29.45,29.58,29.52,29.3,29.45,29.45,29.55,29.67,29.55,29.6,28.3,27.65,28.15,28.35
25Yr,29.35,29.27,29.23,29.15,29.1,29.23,29.23,29.33,29.4,29.5,29.3,28.9,29.5,30.2,30.5
30Yr,28.35,28.35,28.35,28.45,28.65,29.05,29.4,28.75,29.05,29.15,29.25,29.88,30.73,31.13,33.35
