Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,0.57375,0,0.57375,0.57375,0.998552
EDH12   ,0.6692,0,0.6692,0.63477,0.996977
EDM12   ,0.73775,0,0.73775,0.67578,0.995121
EDU12   ,0.77073,0,0.77073,0.70251,0.993186
EDZ12   ,0.78816,0,0.78816,0.7203,0.991211
EDH13   ,0.78003,0,0.78003,0.73338,0.98926
EDM13   ,0.79137,0,0.79137,0.74438,0.987285
2 YR,0.756,0,0.756,0.75627,0.984975
3 YR,0.869,0,0.869,0.87024,0.974262
4 YR,1.0755,0,1.0755,1.08011,0.957798
5 YR,1.3105,0,1.3105,1.32141,0.936268
6 YR,1.5335,0,1.5335,1.55316,0.911349
7 YR,1.7245,0,1.7245,1.75403,0.88493
8 YR,1.875,0,1.875,1.91381,0.858574
9 YR,2.0025,0,2.0025,2.05066,0.832205
10 YR,2.1135,0,2.1135,2.17111,0.805734
11 YR,2.214,0,2.214,2.28161,0.779147
12 YR,2.299,0,2.299,2.37585,0.753202
15 YR,2.4769,0,2.4769,2.57507,0.681223
20 YR,2.6003,0,2.6003,2.70822,0.583866
25 YR,2.65995,0,2.65995,2.76942,0.502741
30 YR,2.6996,0,2.6996,2.81096,0.43276
40 YR,2.707,0,2.707,2.79419,0.329579
50 YR,2.673,0,2.673,2.71124,0.260146
