Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.81,0,2.81,2.81,0.992947
EDU08   ,2.82239,0,2.82239,2.85913,0.991832
EDZ08   ,2.97378,0,2.97378,2.91772,0.984432
EDH09   ,2.95702,0,2.95702,2.95447,0.977129
EDM09   ,3.07962,0,3.07962,3.00382,0.969581
EDU09   ,3.28159,0,3.28159,3.06753,0.961604
EDZ09   ,3.55795,0,3.55795,3.15057,0.953033
2 YR,3.294,0,3.294,3.30005,0.936634
3 YR,3.619,0,3.619,3.63597,0.897269
4 YR,3.845,0,3.845,3.87261,0.857675
5 YR,3.997,0,3.997,4.0332,0.819014
6 YR,4.124,0,4.124,4.16956,0.780671
7 YR,4.239,0,4.239,4.29555,0.742669
8 YR,4.328,0,4.328,4.39382,0.706055
9 YR,4.404,0,4.404,4.47923,0.671039
10 YR,4.471,0,4.471,4.55586,0.637246
11 YR,4.518,0,4.518,4.60893,0.605786
12 YR,4.568,0,4.568,4.66787,0.574814
15 YR,4.673,0,4.673,4.79279,0.491299
20 YR,4.765,0,4.765,4.90181,0.379534
25 YR,4.805,0,4.805,4.94405,0.29482
30 YR,4.822,0,4.822,4.95473,0.230316
40 YR,4.837,0,4.837,4.94931,0.141476
50 YR,4.8245,0,4.8245,4.87753,0.08986
