Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,99.57,79.25,75.92,67.5,61.7,58.08,61.23,58.35,58.7,60.35,51.55,55.08,55.98,55.65,55.63
3Mo,83.53,70.83,63.65,60.9,58.28,56.75,56.9,55.3,55.08,55.13,52.5,51.25,50.2,49.75,51.05
6Mo,79.75,66.3,60.3,58.88,56.25,53.85,53.52,51.67,51.58,51.5,47.42,47.4,46.5,45.9,46.3
9Mo,80.42,66.3,63.17,58.85,54.55,51.52,50.08,49.83,49.3,47.63,47.4,44.65,43.92,43.55,41.67
1Yr,79.65,66.2,61.67,56.9,53.77,49.8,50.58,47.83,47.13,45.95,44.42,42.63,41.88,41.65,43.77
2Yr,77.42,61.3,53.28,48.67,46.38,44.65,43.2,42.65,41.8,40.73,38.4,38.35,37.95,37.67,37.77
3Yr,58.63,49.88,44.98,42.25,40.75,39.67,38.48,38.15,37.63,36.83,36.92,35.38,35.4,34.88,34.77
4Yr,45.55,42.03,39.4,38.1,36.98,36.38,35.42,35.13,34.75,34.3,32.92,33.22,33.05,32.77,32.8
5Yr,39.25,37.22,36.17,35.25,34.58,34.15,33.3,32.97,32.85,32.67,31.3,31.77,31.7,31.2,31.3
6Yr,35.02,34.25,33.53,32.98,32.4,32,31.6,31.1,31.2,31.1,31.55,30.6,30.4,30.25,30.23
7Yr,34.48,32.95,32.25,31.63,31.15,31.08,30.75,30.57,30.63,31,29.83,30.02,29.9,29.43,29.73
8Yr,31.95,31.48,30.83,30.35,30,29.9,29.82,29.38,29.48,29.48,29.73,29.18,28.77,28.65,28.55
9Yr,30.68,30.07,29.63,29.27,29.27,29.2,29.05,28.77,29.25,28.88,29.05,28.58,28.2,26.77,27.8
10Yr,29.83,29.45,29.3,29.1,28.98,29,28.93,28.82,28.9,29.05,28.13,28.1,27.85,27.48,27.45
15Yr,28.45,28.35,28.45,28.73,28.42,28.98,28.93,29,29,28.88,27.52,27.48,26.98,27.02,27.15
20Yr,26.92,25.95,26.4,26.45,26.52,26.58,26.45,26.32,26.35,26.4,27.13,25.7,25.5,25.55,25.68
25Yr,25.95,25.8,25.8,25.75,26.1,26.07,26.17,26.17,26.23,26.3,26.43,25.88,25.8,25.9,25.95
30Yr,25.65,25.7,25.92,26.05,26.38,26.55,26.63,26.6,26.5,26.88,26.15,26.45,25.92,25.92,28.2
