Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,3.83375,0,3.83375,3.83375,0.990298
EDZ08   ,2.33934,0,2.33934,2.93508,0.988333
EDH09   ,2.15759,0,2.15759,2.65985,0.982972
EDM09   ,2.14004,0,2.14004,2.53143,0.977683
EDU09   ,2.1917,0,2.1917,2.464,0.972296
EDZ09   ,2.3826,0,2.3826,2.45057,0.966475
EDH10   ,2.54274,0,2.54274,2.47425,0.960303
2 YR,2.6605,0,2.6605,2.66293,0.948329
3 YR,3.0678,0,3.0678,3.08305,0.912223
4 YR,3.365,0,3.365,3.39355,0.874062
5 YR,3.6215,0,3.6215,3.66616,0.833895
6 YR,3.786,0,3.786,3.84204,0.795857
7 YR,3.9205,0,3.9205,3.98797,0.758501
8 YR,4.0185,0,4.0185,4.09471,0.722975
9 YR,4.0955,0,4.0955,4.17927,0.689176
10 YR,4.1505,0,4.1505,4.23908,0.65739
11 YR,4.18,0,4.18,4.26854,0.628387
12 YR,4.2055,0,4.2055,4.29437,0.600574
15 YR,4.2395,0,4.2395,4.32195,0.526562
20 YR,4.25,0,4.25,4.31561,0.425734
25 YR,4.249,0,4.249,4.30007,0.345162
30 YR,4.24,0,4.24,4.27432,0.281106
40 YR,4.2225,0,4.2225,4.22392,0.187876
50 YR,4.2215,0,4.2215,4.21593,0.124176
