Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,33.55,44.25,40.9,39.38,38.28,34.55,34.45,32.2,30.7,30.15,29.05,27.5,24.55,24,23.55
3Mo,37.7,40.97,38.25,36.73,35.67,33.63,31.6,30.25,29.1,27.52,25.9,24.5,23,22.9,22.25
6Mo,40.08,38.45,35.73,34.25,33.1,31.8,29.73,28.4,27.5,26.6,25.25,23.25,22.2,21.95,21.4
9Mo,39.55,36.63,34.55,32.98,31.73,29.8,28.68,27.4,26.6,25.4,24.3,22.7,21.85,21.75,21.3
1Yr,38.05,34.95,32.77,31.5,30.3,28.2,27.65,26.4,25.75,24.73,23.65,22.6,21.43,21.4,20.67
2Yr,30.15,29.18,28.18,27.27,26.4,25.2,24.63,24.1,23.5,22.63,21.85,20.8,20.25,20.3,19.57
3Yr,26.9,26.27,25.42,24.67,24.1,23.38,22.85,22.6,21.7,21.33,20.7,20.2,19.35,19.4,18.8
4Yr,24.77,24.07,23.35,22.8,22.35,21.92,21.42,21.25,20.95,20.23,19.7,19,18.45,18.4,18
5Yr,22.55,21.95,21.5,21.15,20.85,20.5,20.07,20,19.75,19.13,18.7,18,17.57,17.55,17.18
6Yr,21.45,20.55,20.55,20.25,19.85,19.6,19.15,18.7,18.75,18.4,17.9,17.15,16.9,16.8,16.55
7Yr,19.7,19.48,19.25,19.02,18.8,18.55,18.23,18.35,18.1,17.5,17.25,16.75,16.15,16.3,15.82
8Yr,18.9,18.45,18.35,18.15,17.95,17.75,17.45,17.3,17.15,16.9,16.65,16.3,16,15.6,15.45
9Yr,17.75,17.45,17.35,17.25,17.05,16.8,16.75,16.55,16.4,16.2,16.05,15.85,15.6,14.6,15
10Yr,16.98,16.8,16.73,16.63,16.52,16.27,16.15,16.2,16,15.6,15.35,15.05,14.45,14.65,14.18
15Yr,15.35,15.3,15.25,15.2,15.15,15,14.9,14.75,14.6,14.45,14.15,13.7,13.6,13.35,13.3
20Yr,15.45,14.45,14.4,14.15,14.15,14,13.8,13.7,13.6,13.45,13.2,12.9,12.6,12.6,12.35
25Yr,14,13.55,13.5,13.35,13.4,13.25,13.15,13.1,12.95,12.85,12.55,12.15,11.9,11.7,11.5
30Yr,13.2,13.6,13.25,13.2,13.2,13.1,12.95,12.9,12.75,12.65,12.3,11.85,11.6,11.35,11.1
