Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,88.75,93.6,96.45,94.85,95.05,91.85,90.65,89.3,88.5,88.25,88.9,88,89.9,96.4,101.45
3Mo,83.15,77.9,82.45,80.63,80.43,78.05,77.1,76.2,75.7,75.55,74.9,72.9,76.38,80.6,83.3
6Mo,74.8,71.5,66.95,69.05,67.25,65.55,64.63,63.5,63,62.77,62.23,59.5,60.55,63.5,65.25
9Mo,68.5,64.57,64.85,61.72,60.85,59.63,58.4,59.75,59,56.73,56.2,55.45,55.02,55.65,57.8
1Yr,62.3,57.78,54.9,55.1,54.65,53.15,52.48,51.6,52.2,50.77,50.25,48.9,49.55,50.6,50.6
2Yr,48.97,46.65,45.4,44.83,44.95,44.05,43.63,43.3,43.1,42.67,43,41.4,42.38,43.1,42.8
3Yr,41.58,40.33,39.75,40.1,40.08,39.25,39.17,39,42,38.1,39.2,37.7,38.88,39.4,39.2
4Yr,36.67,35.95,36.65,36.52,36.58,36.05,35.85,35.6,35.2,34.45,34.9,35.2,36,36.9,36.38
5Yr,33.95,34.63,34.1,33.92,33.95,33.58,33.13,33.1,32.4,31.75,32.42,32.5,33.55,34.1,33.88
6Yr,32.15,31.9,32.3,32.4,32.3,31.5,30.6,32.35,30.55,30.3,30.55,30.95,31.95,32.3,31.85
7Yr,29.33,29.42,29.7,29.75,29.63,29.17,28.77,28.5,28.3,28.27,29.35,29.3,30.25,30.3,30.27
8Yr,29.6,27.9,27.6,27.2,26.9,26.9,26.65,26.75,26.85,26.7,27.35,28.35,29,28.55,28.5
9Yr,27.15,26.1,25.7,25.5,25.35,25.45,25.55,25.75,25.8,25.85,26.55,27.7,28,27.9,27.8
10Yr,25.45,25.15,24.9,24.65,24.52,24.45,24.68,25,25.3,25.35,26.3,26.9,26.27,26.3,26.4
15Yr,21.9,22.25,22.8,24.5,25.3,25.7,24.05,26.2,26.2,24.05,24.6,25.5,23.4,23.25,22.55
20Yr,26.3,26.3,26.5,26.5,26.4,26.1,25.7,25.4,25,24.8,24.3,23.6,23.2,22.3,23.3
25Yr,23.7,23.4,26.75,23.2,22.9,22.7,22.7,22.5,22.5,22.5,22.35,22.2,24.65,22.1,23.6
30Yr,21.4,21.5,21.6,21.7,21.9,21.9,22,22,22,25.2,25.25,25.4,22,25.4,21.6
