Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,0.56975,0,0.56975,0.56975,0.998562
EDH12   ,0.66913,0,0.66913,0.63066,0.996892
EDM12   ,0.72764,0,0.72764,0.66866,0.995061
EDU12   ,0.7506,0,0.7506,0.6916,0.993177
EDZ12   ,0.76301,0,0.76301,0.70625,0.991265
EDH13   ,0.74987,0,0.74987,0.71639,0.98939
EDM13   ,0.7562,0,0.7562,0.72457,0.987502
2 YR,0.7305,0,0.7305,0.7307,0.985499
3 YR,0.83535,0,0.83535,0.83642,0.975271
4 YR,1.0421,0,1.0421,1.04645,0.959111
5 YR,1.2765,0,1.2765,1.28699,0.937871
6 YR,1.5025,0,1.5025,1.52173,0.913056
7 YR,1.696,0,1.696,1.72512,0.886622
8 YR,1.852,0,1.852,1.89085,0.860183
9 YR,1.9806,0,1.9806,2.02881,0.833874
10 YR,2.0925,0,2.0925,2.15019,0.807453
11 YR,2.18,0,2.18,2.24552,0.782211
12 YR,2.274,0,2.274,2.3503,0.755487
15 YR,2.4465,0,2.4465,2.54272,0.684543
20 YR,2.5615,0,2.5615,2.66506,0.588904
25 YR,2.6175,0,2.6175,2.72158,0.508746
30 YR,2.6515,0,2.6515,2.75502,0.440017
40 YR,2.661,0,2.661,2.74356,0.336229
50 YR,2.629,0,2.629,2.66614,0.265999
