Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,92.75,78.45,83.05,69.3,64.22,58.13,57,54.9,54.15,52.95,48.7,48.25,48.25,48.45,48.85
3Mo,90.32,80.28,71.05,64,60.1,55.38,53.15,51.15,50.2,48.9,47.15,44.8,44.4,44.4,43.8
6Mo,86.35,75.1,66.32,59.6,56.9,52.45,50.05,48.1,46.9,45.7,44.67,42.1,41.92,41.67,41.52
9Mo,88.2,72.75,63.25,57.25,53.45,49.75,47.2,45.85,44.55,43.45,42.55,40.53,40,39.9,39.67
1Yr,84.3,69.68,60.45,54.55,50.85,47.15,45.25,43.6,42.6,41.23,40.25,38.5,38.15,38.4,38.5
2Yr,69.97,56.55,48.9,44.8,42.6,40.7,39.6,38.4,37.6,36.8,36.35,34.9,34.5,34.2,33.88
3Yr,52.2,44.97,41.05,38.55,36.77,36.05,35.35,34.75,34.1,33.45,33.77,32.15,31.63,31.77,31.55
4Yr,40.98,37.98,35.33,34.5,33.48,33.05,32.22,32.15,31.85,31.55,31.52,30.8,30.45,30.38,30.25
5Yr,35.8,34.05,33.05,32.15,31.85,31.45,31.05,30.98,30.65,30.55,30.4,29.98,29.42,29.58,29.55
6Yr,32.45,31.9,31.4,30.95,30.4,30.17,29.9,29.7,29.8,29.8,29.77,29.2,28.88,29.18,28.75
7Yr,30.95,30.25,30.25,29.38,29.2,29.15,29.05,29.05,29.25,29.23,29.15,28.65,27.9,28.1,27.88
8Yr,30.17,29.9,29.58,29.08,28.92,28.85,28.63,28.67,28.77,28.77,28.63,27.88,27.68,27.55,27.35
9Yr,29.52,29.17,28.93,28.45,28.38,28.2,28.13,28.25,28.45,28.45,28.05,27.65,26.68,28.1,26.6
10Yr,28.7,28.5,28.2,28,27.92,27.73,27.8,28.3,28.18,27.95,27.82,27.02,25.93,26.38,25.52
15Yr,27.63,27.82,28.02,28.1,28,28.32,28,28.15,28.23,28,26.83,26.55,25.82,25.38,25.4
20Yr,27.05,27.05,27.05,26.85,26.85,27.02,26.52,26.35,26.8,26.5,26.93,25.6,24.5,24.9,25.17
25Yr,26.15,26.15,26.15,26.15,26.15,25.98,25.98,26,26.08,26.2,26.1,25.57,25.98,26.45,26.2
30Yr,25.75,25.9,25.85,25.88,26.05,26.23,26.25,25.95,26.4,26.52,26.1,26.63,27.85,26.92,27.65
