Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,68.42,59.38,54.53,50.38,45.48,43.95,47.4,43.25,44,45.2,45.6,43.13,42.05,41.17,42.55
3Mo,69.3,61.25,54.65,52.08,48.67,47.95,48.52,46.63,46.6,47.08,45.45,42.8,43.15,42.92,44.45
6Mo,67.65,63.35,56.7,52.08,49.77,48.8,48.45,46.92,46.65,47.05,46.7,44.25,44.38,42.6,43.77
9Mo,70.85,63.45,55.2,51.97,49.45,48.05,47.38,47.05,46.7,46.78,45.42,43.6,42.9,42.63,42.67
1Yr,71.55,62,53.75,51.58,49.23,47.38,46.8,46.38,45.23,45.6,43.52,42.85,42.17,42.08,42.3
2Yr,73.05,58.42,53,48.4,45.9,44.58,43.42,42.05,41.95,41.3,40.67,38.17,38.45,37.83,38.55
3Yr,57.35,51.78,46.75,43.63,42,40.97,39.77,38.67,38.6,37.95,37.88,35.67,35.97,35.13,35.33
4Yr,49.5,44.8,41.67,39.9,38.77,37.83,37.25,36.25,35.77,35.98,35.95,34.15,34.27,33.95,34.15
5Yr,42.4,38.6,38.75,37.53,37.05,36.35,35.8,34.8,34.45,34.85,34.65,33.4,34.02,33.05,33.5
6Yr,37.38,36.35,35.8,35.08,34.45,34,33.53,32.75,32.55,32.67,33.63,32.7,32.65,32.42,32.17
7Yr,35.83,35.6,34.8,34.1,33.8,33.5,33.25,32.5,32.45,33.1,33.4,32.25,32.23,31.8,31.63
8Yr,34.98,33.3,33.28,32.65,32.08,32,31.9,31.3,31.4,31.5,31.93,31.52,31.25,31.05,30.77
9Yr,33.83,32.6,32.02,31.52,31.2,31.25,31.15,30.77,31.38,30.98,31.25,30.9,30.45,30.45,29.98
10Yr,32.85,32.45,32,31.42,31.4,31.48,31.57,31.02,30.5,31.3,31.8,30.2,30.1,29.13,29.6
15Yr,30.6,30.3,30.75,31.05,31.45,31.45,31.5,31.45,31.45,31.3,29.45,29.27,28.45,28.65,29.05
20Yr,30.13,29.32,29.38,29.45,29.55,29.4,29.25,29.1,29,28.2,29.65,27.77,27.73,28.38,28.7
25Yr,28.25,27.6,27.7,27.9,28.15,27.75,28.4,28.55,28.6,28.7,29.3,28.58,28.63,29.4,27.95
30Yr,28.68,28.17,28.65,29.1,29.6,29.2,30.1,29.35,30.2,30.75,28.63,30.33,31.8,34.05,31.63
