Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.79438,0,2.79438,2.79438,0.992909
EDU08   ,2.83962,0,2.83962,2.87994,0.98957
EDZ08   ,3.03837,0,3.03837,2.94923,0.982028
EDH09   ,3.12149,0,3.12149,3.02202,0.97434
EDM09   ,3.27402,0,3.27402,3.09737,0.966343
EDU09   ,3.50595,0,3.50595,3.1822,0.957854
EDZ09   ,3.7973,0,3.7973,3.28104,0.948747
2 YR,3.4275,0,3.4275,3.43511,0.934149
3 YR,3.762,0,3.762,3.7809,0.893715
4 YR,3.9885,0,3.9885,4.0179,0.852797
5 YR,4.152,0,4.152,4.19115,0.812701
6 YR,4.284,0,4.284,4.33314,0.773204
7 YR,4.407,0,4.407,4.46852,0.733921
8 YR,4.5015,0,4.5015,4.57351,0.696449
9 YR,4.588,0,4.588,4.67171,0.659762
10 YR,4.658,0,4.658,4.75208,0.625139
11 YR,4.708,0,4.708,4.80887,0.592908
12 YR,4.7615,0,4.7615,4.87253,0.56119
15 YR,4.8655,0,4.8655,4.99571,0.476911
20 YR,4.9485,0,4.9485,5.0902,0.365832
25 YR,4.9825,0,4.9825,5.12183,0.282427
30 YR,4.997,0,4.997,5.1277,0.218948
40 YR,4.9665,0,4.9665,5.00983,0.138174
50 YR,4.992,0,4.992,5.07864,0.081462
