Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.81438,0,2.81438,2.81438,0.992936
EDU08   ,2.81744,0,2.81744,2.8568,0.992308
EDZ08   ,2.93384,0,2.93384,2.89901,0.985003
EDH09   ,2.86706,0,2.86706,2.91289,0.977916
EDM09   ,2.95963,0,2.95963,2.94315,0.970654
EDU09   ,3.13156,0,3.13156,2.98955,0.963031
EDZ09   ,3.38784,0,3.38784,3.05799,0.954854
2 YR,3.2605,0,3.2605,3.26724,0.937239
3 YR,3.566,0,3.566,3.58264,0.89895
4 YR,3.7765,0,3.7765,3.80244,0.860042
5 YR,3.923,0,3.923,3.95707,0.822077
6 YR,4.053,0,4.053,4.09682,0.784016
7 YR,4.1575,0,4.1575,4.21063,0.747005
8 YR,4.2455,0,4.2455,4.30787,0.71108
9 YR,4.315,0,4.315,4.38524,0.676618
10 YR,4.373,0,4.373,4.45066,0.643838
11 YR,4.426,0,4.426,4.51169,0.612154
12 YR,4.477,0,4.477,4.57197,0.581317
15 YR,4.5715,0,4.5715,4.68236,0.499316
20 YR,4.66,0,4.66,4.7869,0.388149
25 YR,4.685,0,4.685,4.80397,0.305198
30 YR,4.6995,0,4.6995,4.81215,0.240135
40 YR,4.714,0,4.714,4.81028,0.149369
50 YR,4.69825,0,4.69825,4.7338,0.096393
