Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,107.9,97.25,82.65,73.05,67.15,62.15,58.95,53.6,50.83,53.25,51.8,52.55,57.6,52,57.65
3Mo,95.55,84.7,73.05,64.95,59.85,55.65,52.95,49.45,47.8,48.05,48.6,45.55,49.3,45.15,50.6
6Mo,87.7,75.9,65.05,58.75,54.65,51.35,49.25,46.2,45.05,45.35,45.3,43.25,45.75,43.1,46.78
9Mo,80.1,68.35,59.52,54.4,51.05,48.35,46.6,44.9,44.65,43.33,43.13,42.9,43.58,44.45,44.27
1Yr,72.05,60.3,53.45,49.55,46.95,44.85,43.45,41.3,40.6,40.8,40.85,40.1,40.95,40.9,41.6
2Yr,47.15,42.95,40.35,38.55,37.55,36.85,36.25,34.7,34.6,35.35,35,34.83,36.15,35.4,36.7
3Yr,37.65,35.92,34.65,34.05,33.7,33.35,33.15,31.6,29.8,32.88,30.8,32.83,33.95,33.2,34.4
4Yr,32.15,31.35,31.05,30.95,30.75,30.15,30.65,29.7,29.35,30.85,30.9,30.6,31.85,30.75,32.15
5Yr,28.55,28.65,28.75,28.68,28.8,28.63,28.95,27.4,27.75,29.3,29.5,28.9,30.13,29.67,30.32
6Yr,26.65,26.7,27.1,27.35,27.55,27.1,26.75,26,27.4,27.75,27.8,27.9,27.75,29,28.5
7Yr,26.05,25.8,26.02,26.45,26.6,26.65,27.05,26.07,26.7,27.2,27.05,26.4,27.3,26.4,27.25
8Yr,25.15,24.3,24.65,24.9,25.2,24.9,24.95,25.65,25.9,25.95,25.7,25.35,24.95,25.65,24.3
9Yr,23.85,23.55,24.05,24.4,24.35,24.4,24.55,24.6,24.8,24.8,24.65,24.5,23.85,22.7,22.9
10Yr,23.55,23.65,24.02,24.45,24.8,24.83,24.88,24.65,24.4,24.57,23.88,22.9,24.2,22.3,23.9
15Yr,23.43,23.65,23.05,23.15,23.2,23.45,23.2,22.77,22.23,21.75,21.35,20.8,20.8,20.6,20.48
20Yr,22,21.9,21.9,20.8,20.75,20.58,20.33,21.13,20.88,19.57,19.45,19.3,19,18.8,18.75
25Yr,20.2,22.2,22.1,22,20.1,21.7,21.5,18.85,21.1,18.6,19.2,20.1,17.65,20,17.6
30Yr,21.2,21.1,20.9,20.9,20.6,20.4,20.3,20.1,20,17.45,17.35,17.3,19.7,17.75,19.9
