Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,108.97,85.9,75.95,68.6,58.83,56.05,57.8,55.85,56.13,56.63,53.3,50.7,52.92,51.2,51.6
3Mo,95.25,81.97,72.15,64.68,58.35,56.75,56.58,54.33,54.58,54.88,51.47,50.47,50.3,49.48,49.58
6Mo,91.05,78.15,66.35,60.98,56.3,54.58,54.17,51.77,51.42,51.33,47.55,47.42,47.15,46.27,47.17
9Mo,89.05,75,65.28,59.05,54.4,51.92,50.42,49.65,49.2,48.4,47.73,45.17,44.55,44.2,44.28
1Yr,85.53,72.57,62.25,57.72,53.13,50.8,49.42,47.92,47.2,46.67,44.27,43.3,43.05,42.48,43.1
2Yr,76.3,62.48,55.17,49.98,47.3,45.5,44.13,43.08,41.95,41.63,38.75,38.9,39.08,38.55,39.17
3Yr,61.3,52.15,46.78,43.5,41.85,40.8,39.67,39.1,38.33,37.95,37.95,36.2,36.4,35.75,36.13
4Yr,47.75,42.83,39.92,39.3,38.13,36.95,36.52,35.35,35,35.65,33.35,34.13,34.38,33.67,33.9
5Yr,39.35,37.88,37.1,36.3,35.48,35.17,34.47,34.05,33.7,33.85,31.83,32.67,32.95,32.4,32.7
6Yr,35.92,34.98,34.33,33.8,33.2,32.77,32.45,31.9,31.83,32,32.53,31.65,31.4,31.33,31.13
7Yr,34.48,33.95,33.27,32.67,32.17,32,31.68,31.48,31.5,32.13,30.35,30.85,31,30.42,30.65
8Yr,32.77,32.33,31.8,31.27,30.98,30.77,30.8,30.48,30.58,30.7,30.93,30.27,30.02,29.2,29.43
9Yr,31.98,31.13,30.75,30.57,30.13,30.25,30.2,30.15,30.63,30.23,30.38,29.93,28.75,27.4,28.93
10Yr,30.77,30.55,30.27,30.07,29.95,30.08,30.07,30,30.25,30.5,28.65,29.23,29.02,28.42,28.2
15Yr,29.42,29.77,29.58,29.98,30.3,30.32,30.27,30.35,30.42,30.3,28.73,29.08,28.68,28.58,28.52
20Yr,27.88,27.95,27.95,27.95,28,28.15,28.08,27.95,28.02,27.48,28.43,27.02,26.48,26.63,26.45
25Yr,27.52,27.48,27.5,27.52,27.65,27.65,27.7,27.73,27.3,27.4,26.98,26.52,26.77,28.2,27.45
30Yr,26.48,26.7,26.45,27.23,27.1,27.27,27.13,27,28,27.13,27.05,25.82,25.55,25.4,29.6
