Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,94.75,80.53,80.53,67.72,60.05,55.83,57.15,55.15,54.2,54.8,50.17,48,47.7,44.3,43.7
3Mo,95.2,78.97,75.9,65.7,58.77,55.65,54.08,52.45,51.6,51.08,48.55,45.72,43.48,43.35,43.45
6Mo,92.4,76.5,71.43,62.73,57.1,52.67,50.35,48.4,47.5,46.22,44.33,41.13,39.4,38.7,39.55
9Mo,89.55,74.53,67.78,59.4,53.73,50.15,47.98,46.3,45.45,44.13,42.73,38.92,37.5,36.88,37.63
1Yr,83.68,71.08,64.08,55.55,51.55,47.63,45.55,44.5,43.52,42.15,40.45,37.23,35.65,35.3,35.27
2Yr,79.3,62.27,52.75,46.4,43.48,41.47,39.95,39.05,38.38,37.17,36.25,34.08,32.83,32.35,32.17
3Yr,58.8,49.1,43.13,40.05,38.28,37.05,35.83,35.48,34.9,33.77,33.73,31.9,30.7,30.35,29.98
4Yr,44.9,40.38,37.6,35.78,34.75,34,33.42,32.8,32.42,31.75,31.55,30.4,29.25,29.18,28.65
5Yr,37.7,35.52,34.15,33.15,32.35,31.92,31.2,31.1,30.88,30.27,30.25,29.13,28.17,27.95,27.7
6Yr,34.13,32.8,31.98,31.35,30.7,30.32,29.9,29.7,29.48,29.5,29.05,28.3,27.7,27.35,27.27
7Yr,31.68,30.98,30.2,29.45,29,28.57,28.27,28.3,28.35,28.08,28.55,27.15,26.5,26.45,26.15
8Yr,30.38,29.6,28.85,28.23,27.73,27.68,27.6,27.55,27.65,27.55,27.3,26.57,26.1,25.88,25.67
9Yr,28.93,27.98,27.45,26.9,26.93,26.82,26.52,26.73,26.7,27.07,26.65,25.8,25.55,24.85,25.15
10Yr,27.3,26.98,26.43,26.15,26.13,26.13,26.05,26.3,26.38,26.38,26.5,25.38,24.5,24.6,24.73
15Yr,24.63,24.8,24.95,24.9,24.73,24.88,24.77,24.9,24.95,25.45,24.38,23.85,23.5,23.35,23.25
20Yr,23.25,23.92,23.45,23.35,23.3,23.25,23.4,23.63,23.55,23.67,24,22.52,22.83,22.73,22.58
25Yr,22.85,22.85,21.9,21.4,20.9,21.27,21.52,21.63,21.68,21.8,23,23.9,22.75,24.1,24.02
30Yr,22.88,21.25,21.3,21.18,20.95,24.5,20.9,25.3,20.73,20.85,22.57,26.38,23.18,24.27,26.77
