Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,0.54,0,0.54,0.54,0.998637
EDZ11   ,0.55742,0,0.55742,0.56127,0.998413
EDH12   ,0.61899,0,0.61899,0.59488,0.996853
EDM12   ,0.6525,0,0.6525,0.61803,0.995212
EDU12   ,0.66548,0,0.66548,0.63151,0.993541
EDZ12   ,0.66292,0,0.66292,0.63781,0.991879
EDH13   ,0.64983,0,0.64983,0.64221,0.990252
2 YR,0.65675,0,0.65675,0.65688,0.986969
3 YR,0.77525,0,0.77525,0.77632,0.977024
4 YR,1.0003,0,1.0003,1.00483,0.9607
5 YR,1.2605,0,1.2605,1.2719,0.938574
6 YR,1.5105,0,1.5105,1.53183,0.91243
7 YR,1.723,0,1.723,1.75568,0.884786
8 YR,1.8945,0,1.8945,1.9384,0.856993
9 YR,2.035,0,2.035,2.08963,0.829368
10 YR,2.1555,0,2.1555,2.22081,0.801831
11 YR,2.261,0,2.261,2.33702,0.774466
12 YR,2.3462,0,2.3462,2.43135,0.748161
15 YR,2.526,0,2.526,2.63257,0.675495
20 YR,2.645,0,2.645,2.75892,0.578098
25 YR,2.705,0,2.705,2.81997,0.496551
30 YR,2.742,0,2.742,2.85702,0.426969
40 YR,2.751,0,2.751,2.842,0.323371
50 YR,2.717,0,2.717,2.75744,0.254285
