Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.80688,0,2.80688,2.80688,0.992878
EDU08   ,2.84476,0,2.84476,2.89516,0.990543
EDZ08   ,3.01861,0,3.01861,2.95353,0.983043
EDH09   ,3.06185,0,3.06185,3.00992,0.975493
EDM09   ,3.20449,0,3.20449,3.07415,0.967654
EDU09   ,3.41155,0,3.41155,3.14756,0.959381
EDZ09   ,3.68304,0,3.68304,3.23578,0.950532
2 YR,3.392,0,3.392,3.39899,0.934813
3 YR,3.745,0,3.745,3.76415,0.894156
4 YR,3.9865,0,3.9865,4.01708,0.852731
5 YR,4.139,0,4.139,4.17805,0.813129
6 YR,4.275,0,4.275,4.32458,0.773593
7 YR,4.3885,0,4.3885,4.44883,0.734912
8 YR,4.4825,0,4.4825,4.55327,0.697553
9 YR,4.559,0,4.559,4.63925,0.661819
10 YR,4.6235,0,4.6235,4.71266,0.627471
11 YR,4.675,0,4.675,4.77167,0.595204
12 YR,4.7275,0,4.7275,4.83417,0.563718
15 YR,4.8315,0,4.8315,4.95783,0.479694
20 YR,4.9205,0,4.9205,5.06218,0.36794
25 YR,4.9595,0,4.9595,5.10265,0.28375
30 YR,4.9755,0,4.9755,5.11101,0.22002
40 YR,4.981,0,4.981,5.08095,0.134392
50 YR,4.9615,0,4.9615,4.98568,0.085229
