Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,89.65,81,69.5,61.25,56.45,52.35,49.25,45.65,44.45,43.55,44.08,44.9,46.05,44.9,46.55
3Mo,82.3,74.22,63.45,56.1,52.05,48.7,45.98,43.65,42.45,41.5,42.35,40.63,42.9,40.17,43.2
6Mo,75.8,64.45,55.3,49.6,46.45,43.7,41.55,39.75,38.85,38.05,38.6,36.85,38.15,36,38.35
9Mo,69.25,57.25,50,45.52,42.88,40.3,38.9,37.4,36.7,35.98,35.88,35.8,36.02,36.5,36.1
1Yr,61.05,50.2,44.15,40.95,39.15,37.25,35.75,34.5,33.95,33.4,34,33.15,33.4,32.4,33.55
2Yr,39.05,34.85,32.75,31.5,30.55,29.75,29.25,28.9,28.9,28.55,28.7,28.68,29.05,28.3,29.15
3Yr,30.05,28.95,28.25,27.65,27.15,26.85,26.65,26.8,26.9,26.55,26.08,27.15,27.35,26.85,27.4
4Yr,26.15,25.75,25.25,24.85,24.75,24.65,24.65,24.8,24.6,24.75,25.5,25.25,25.45,24.98,25.55
5Yr,23.85,23.45,23.1,23.05,23.05,23.1,23.15,23.05,23.15,23.35,24.1,24,24.05,23.9,23.95
6Yr,22.3,22.05,22.1,22.2,22.2,22.4,22.45,22.65,22.75,22.65,22.75,22.9,22.85,23.9,22.9
7Yr,20.25,20.45,20.75,20.95,21.25,21.35,21.5,21.8,21.9,21.65,22.15,21.9,21.75,21.55,21.65
8Yr,21,20.15,20.3,20.55,20.7,20.95,21.05,21.15,21.25,21.15,21.25,21.4,21.25,21.95,21
9Yr,19.7,19.65,19.85,20.05,20.2,20.25,20.5,20.5,20.5,20.45,20.55,20.8,20.5,20.25,20.1
10Yr,19.15,19.45,19.73,19.9,20.15,20.15,20.07,20.1,20.07,19.85,19.73,19.55,19.2,19,19.05
15Yr,19.13,19.38,19.5,19.55,19.5,19.4,19.25,19,18.85,19.2,18.7,18,17.7,17.65,18.67
20Yr,18.35,18.25,18.02,17.88,17.8,17.7,17.57,17.48,17.32,17.18,16.88,16.52,16.02,15.7,16.1
25Yr,17,16.8,16.7,16.5,16.4,16.3,16.2,16.1,15.6,15.9,15.75,15.6,15.85,15.7,15.75
30Yr,16,16,16,15.9,15.9,15.9,15.9,15.8,15.8,15.9,15.8,15.7,15.75,15.95,16
