Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.79313,0,2.79313,2.79313,0.992913
EDU08   ,2.91452,0,2.91452,2.94639,0.988851
EDZ08   ,3.14313,0,3.14313,3.0294,0.981056
EDH09   ,3.24109,0,3.24109,3.11287,0.973084
EDM09   ,3.4634,0,3.4634,3.20992,0.964639
EDU09   ,3.77008,0,3.77008,3.32209,0.955532
EDZ09   ,4.09614,0,4.09614,3.44489,0.94574
2 YR,3.618,0,3.618,3.62836,0.930608
3 YR,3.974,0,3.974,4.00026,0.887965
4 YR,4.1885,0,4.1885,4.2236,0.845945
5 YR,4.3355,0,4.3355,4.37838,0.805286
6 YR,4.4725,0,4.4725,4.52621,0.764491
7 YR,4.581,0,4.581,4.64489,0.725116
8 YR,4.6645,0,4.6645,4.73706,0.687601
9 YR,4.7275,0,4.7275,4.80528,0.652056
10 YR,4.796,0,4.796,4.8861,0.617009
11 YR,4.848,0,4.848,4.94626,0.584224
12 YR,4.893,0,4.893,4.99908,0.552935
15 YR,4.988,0,4.988,5.1115,0.468897
20 YR,5.064,0,5.064,5.19841,0.358193
25 YR,5.093,0,5.093,5.22402,0.27548
30 YR,5.107,0,5.107,5.2305,0.212464
40 YR,5.114,0,5.114,5.20704,0.127944
50 YR,5.089,0,5.089,5.09172,0.080945
