Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,90.8,79.7,65.55,58.25,53.1,49.3,46,42.25,40.6,38.5,37.9,37,36.5,36.1,35.85
3Mo,85.75,70.2,57.15,50.9,46.75,43.38,40.85,38.45,36.6,34.63,34.73,34.05,33.45,33.9,33.08
6Mo,72.85,61.47,50.65,45.9,42.3,39.4,37.3,35.4,33.8,32.25,32.05,31.1,31.1,30.8,30.45
9Mo,68.35,53.58,45.7,41.7,38.77,36.5,34.75,33.1,32.25,30.75,30.45,30.1,29.6,29.65,29.13
1Yr,56.92,45.2,40.4,37.25,35.05,33.35,31.95,30.7,29.9,29,29.9,28.2,28.1,28,27.63
2Yr,34,32.25,30.9,29.65,28.9,28.15,27.45,27,26.35,25.65,25.8,25.8,25.6,25.55,25.7
3Yr,29.27,28.27,27.5,26.77,26.7,25.77,25.32,25.4,25.15,24.4,26.2,24.5,24.43,24.6,24.7
4Yr,25.67,25.33,24.93,24.85,24.43,24.1,23.83,23.7,23.8,23.35,23.5,23.7,23.3,23.45,23.05
5Yr,23.67,23.63,23.55,23.23,23.25,22.95,22.73,22.7,22.65,22.8,22.65,22.7,22.45,22.45,22.9
6Yr,22.45,22.15,22.25,22.2,22.05,21.95,21.8,23,21.75,21.5,21.5,21.55,21.5,21.25,20.95
7Yr,22,21.35,21.65,21.75,21.75,21.42,21.6,21.35,21.25,21.25,22.75,20.95,20.83,20.55,21.5
8Yr,21.25,20.25,20.4,20.45,20.5,20.95,20.5,20.45,20.4,20.2,20.6,21.25,20.2,19.65,19.45
9Yr,20.05,19.7,19.8,20.6,20.45,19.85,20.05,19.85,19.75,19.6,19.7,19.9,19.65,19.25,18.85
10Yr,19.43,19.52,19.75,19.85,19.85,19.75,19.75,19.6,19.4,19.3,19.13,18.9,18.68,18.35,19
15Yr,19.1,19.05,18.95,18.8,18.65,18.4,18.2,17.8,17.55,17.4,17.2,16.9,17.8,16,17.6
20Yr,17.3,17.2,17.1,17,17,17,16.9,16.75,16.55,16.4,16.6,16.9,17,15.65,17.85
25Yr,16.7,16.75,16.7,16.6,16.45,16.15,15.9,15.4,14.3,15.1,14.9,14.65,15.35,16.1,16.25
30Yr,18.6,15.9,15.3,15,14.85,11.7,18.5,11.7,13.4,14.85,15.25,15.85,17.05,16.9,15.2
