Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,47.2,49.38,44.75,41.78,39.75,36.95,33.05,31.9,29.5,26.85,25.05,22.95,21.38,22,20.75
3Mo,43.3,45.2,40.85,38.45,36.65,34.15,31.9,29.5,28.05,26.3,25.3,23,21.15,21.65,20.9
6Mo,41.4,39.95,36.3,34.15,32.4,30.55,28.95,27.05,26.15,24.7,23.1,22.1,20.6,20.4,20.1
9Mo,39.1,37.1,34.2,32.2,30.6,29,27.65,25.65,24.85,23.9,22.8,21.15,20.15,20,19.4
1Yr,36.8,33.75,31.8,29.98,28.5,27.2,26.1,24.55,24,23.1,22.45,20.7,19.7,19.5,19.3
2Yr,28.4,27.3,26.3,25.45,24.7,24.1,23.4,22.4,21.9,21.4,20.5,19.55,18.8,18.55,18.07
3Yr,25.58,24.57,23.85,23.3,22.8,21.83,21.4,21.1,20.85,20.3,19.4,18.5,17.95,17.75,17.8
4Yr,23.38,22.9,22,21.57,21.4,20.55,20.5,20.05,19.75,19.4,18.65,17.7,17.4,17.1,16.73
5Yr,21.4,20.85,20.9,20.5,19.8,19.48,19.4,19.05,18.75,18.5,17.8,16.95,16.6,16.4,16.4
6Yr,20.3,19.55,19.45,19.23,18.85,18.6,18.25,18.3,17.85,17.5,16.9,16.05,15.7,15.55,15.4
7Yr,19.4,19.1,18.33,18.15,17.95,17.7,17.7,17.4,17.2,17,16.3,15.55,15.1,15.05,15.2
8Yr,18.08,17.67,17.5,17.25,17.05,16.9,16.7,16.5,16.4,16.15,15.75,15.15,14.8,14.45,14.35
9Yr,17.1,16.85,16.65,16.5,16.25,16.05,16.05,15.85,15.7,15.55,15.25,14.8,14.45,14,13.9
10Yr,16.52,16.4,16.07,16.05,15.77,15.75,15.48,15.7,15.3,14.95,14.7,14,13.53,13.6,13.3
15Yr,14.65,14.45,14.8,14.3,14.25,14.4,14.3,13.9,13.75,13.6,13.25,12.75,12.6,12.45,12.55
20Yr,14.1,13.45,13.3,13.2,13.15,13.7,13.5,13.3,12.7,12.6,12.15,11.55,11.4,11.4,11.45
25Yr,13.25,12.75,12.65,12.6,12.45,12.3,12.15,12,11.85,11.7,11.25,10.6,10.6,10.7,10.6
30Yr,12.75,12.15,12,11.85,11.75,11.6,11.45,11.4,11.25,11.15,10.8,10.3,10.45,10.35,10
