Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.8025,0,2.8025,2.8025,0.992736
EDU08   ,2.83466,0,2.83466,2.88071,0.989803
EDZ08   ,3.04845,0,3.04845,2.95482,0.982235
EDH09   ,3.15662,0,3.15662,3.03713,0.974459
EDM09   ,3.3442,0,3.3442,3.12584,0.966291
EDU09   ,3.5962,0,3.5962,3.2229,0.957586
EDZ09   ,3.90263,0,3.90263,3.33253,0.948232
2 YR,3.521,0,3.521,3.53037,0.932311
3 YR,3.8895,0,3.8895,3.91168,0.890282
4 YR,4.1265,0,4.1265,4.1598,0.848161
5 YR,4.2935,0,4.2935,4.33669,0.806931
6 YR,4.428,0,4.428,4.48148,0.7665
7 YR,4.5495,0,4.5495,4.61513,0.726409
8 YR,4.647,0,4.647,4.72398,0.688304
9 YR,4.725,0,4.725,4.81188,0.65185
10 YR,4.7915,0,4.7915,4.888,0.616978
11 YR,4.847,0,4.847,4.95225,0.583849
12 YR,4.896,0,4.896,5.00997,0.552079
15 YR,5.002,0,5.002,5.13688,0.467291
20 YR,5.088,0,5.088,5.23638,0.355653
25 YR,5.124,0,5.124,5.27126,0.272328
30 YR,5.1405,0,5.1405,5.28071,0.209338
40 YR,5.1435,0,5.1435,5.24228,0.126162
50 YR,5.139,0,5.139,5.19622,0.076924
