Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.79063,0,2.79063,2.79063,0.992919
EDU08   ,2.92931,0,2.92931,2.94078,0.987749
EDZ08   ,3.12772,0,3.12772,3.01529,0.980001
EDH09   ,3.17543,0,3.17543,3.08089,0.972198
EDM09   ,3.33746,0,3.33746,3.15405,0.964065
EDU09   ,3.58382,0,3.58382,3.23956,0.955409
EDZ09   ,3.88952,0,3.88952,3.34049,0.946107
2 YR,3.4695,0,3.4695,3.47748,0.933372
3 YR,3.8125,0,3.8125,3.8322,0.892366
4 YR,4.033,0,4.033,4.06278,0.851297
5 YR,4.1855,0,4.1855,4.22402,0.811394
6 YR,4.308,0,4.308,4.35548,0.772191
7 YR,4.4185,0,4.4185,4.4766,0.733516
8 YR,4.511,0,4.511,4.57958,0.696119
9 YR,4.583,0,4.583,4.66023,0.660429
10 YR,4.644,0,4.644,4.72966,0.62651
11 YR,4.703,0,4.703,4.7988,0.59355
12 YR,4.741,0,4.741,4.84186,0.563211
15 YR,4.84,0,4.84,4.9595,0.479446
20 YR,4.9185,0,4.9185,5.0491,0.368778
25 YR,4.955,0,4.955,5.0871,0.284828
30 YR,4.9595,0,4.9595,5.07302,0.222479
40 YR,4.983,0,4.983,5.0932,0.133752
50 YR,4.9615,0,4.9615,4.98883,0.08511
