Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,82.55,91.55,84.28,81.55,80.88,79.07,78.13,77.15,76.85,78.63,84.6,89.05,89.55,96.3,101.9
3Mo,73.55,76.38,75.1,73.95,74.28,71.95,70.43,69.9,68.9,68.65,72.8,78.1,79.65,84.4,88.15
6Mo,70.65,68.35,66.63,65.05,64.65,62.55,61.42,60.7,60.1,59.88,63.05,62.9,66.75,70.4,73.25
9Mo,65.88,62.15,61.05,59.67,59.1,57.42,56.58,56.5,56.25,55.25,56.38,57.85,60.77,63.65,66.3
1Yr,60.58,56.05,55.25,53.95,53.38,51.6,51.33,50.7,50.3,50.2,51.8,52.5,55.33,57.1,59.33
2Yr,48.53,46.25,45.58,44.98,44.73,44.22,43.83,43.9,44.2,44.33,45.85,46.3,48.55,50,51.85
3Yr,41.25,40.5,40.33,40.05,40.25,40.05,40.08,40.7,41.6,41,41,43.1,44.95,46.3,46.88
4Yr,38.28,37.9,36.95,37.2,37.25,37.27,37.65,38.3,38.5,38.48,40.95,40.3,41.85,43.4,43.3
5Yr,34.95,34.55,34.98,34.65,34.98,35.4,35.67,36.3,36.4,36.27,37.7,38.3,39.27,40.1,40.35
6Yr,31.65,31.8,32.7,33.1,33.65,33.8,33.8,34.6,34.65,34.8,35.3,36.15,37.05,39.45,38.35
7Yr,31.67,30.67,31.1,31.98,32.63,32.98,33.08,33.4,33.6,33.63,35.15,35.1,35.55,36.1,35.95
8Yr,29.55,29.1,30.2,30.65,30.95,31.4,31.6,31.95,32.5,32.3,32.9,33.9,34.65,36.45,34.75
9Yr,28.2,28.75,29.5,30.2,30.3,30.9,31.55,31.5,31.55,31.45,32.05,32.95,33.5,33.4,33.7
10Yr,29.67,30.25,30.2,30.4,30.65,30.75,31.02,31.6,31.9,31.57,32.35,32.6,31.83,31.9,31.45
15Yr,28.9,29.15,30.05,30.25,30.45,31.9,30.1,30,29.85,29.85,29.35,28.7,28.1,27.8,27.55
20Yr,30.1,29.9,29.65,29.65,29.8,28.85,29.4,28.45,28.45,29.35,28.5,27.3,26.2,25.9,25.9
25Yr,31.9,27.6,28.1,29.55,29.5,27.7,27.4,27.1,25.9,26.5,25.9,25,26.3,24.5,24.7
30Yr,28.6,25.4,30.35,29.95,25,24.7,24.5,24.3,24.2,25.65,25.55,25.5,23.6,25.15,23.7
