Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,31.85,37.27,34.15,32.8,31.8,29.4,28.2,26.8,25.5,24.3,23.35,22,21.1,19.8,19.27
3Mo,35.17,37.42,34.9,33.5,32.4,30.4,28.7,27.15,25.8,24.6,23.35,21.7,20.45,20.25,19.9
6Mo,37.6,36.15,33.7,32.2,31.2,29.4,27.8,26.2,25.3,24.1,23,21.4,20.4,20.05,19.75
9Mo,36.95,34.45,32.45,30.9,29.75,28.2,26.83,25.3,24.5,23.5,22.45,20.9,20.05,19.9,19.58
1Yr,36.05,32.95,30.95,28.7,27.5,26.75,25.65,24.9,23.9,22.75,21.9,20.7,19.75,19.7,19.4
2Yr,27.8,26.4,26.25,24.65,24.7,23.4,22.85,22.5,21.9,21.2,20.25,19.4,18.9,18.85,18.27
3Yr,25,24.05,23.05,23,22.5,22,21.5,21.05,20.55,20.1,19.25,18.8,18.1,18.15,17.57
4Yr,23.2,22.25,21.67,21.15,21,20.6,19.85,19.7,19.5,18.85,18.4,17.75,17.15,17.2,16.85
5Yr,21,20.45,20.08,20,19.7,19.4,19,18.75,18.55,18.2,17.6,16.95,16.7,16.5,16.4
6Yr,19.85,19.1,19.1,18.9,18.65,18.3,17.9,17.75,17.6,17.3,16.8,16.05,15.85,15.75,15.6
7Yr,18.7,18.6,18.3,18.1,17.9,17.7,17.2,17.2,17,16.55,16.3,15.6,15.15,15.3,15
8Yr,17.7,17.3,17.25,17.1,16.95,16.7,16.5,16.35,16.2,16,15.65,15.2,15,14.7,14.6
9Yr,16.75,16.55,16.45,16.35,16.2,15.95,15.9,15.7,15.55,15.4,15.15,14.85,14.65,14.4,14.15
10Yr,16.5,15.95,16.2,16.1,15.75,15.8,15.4,15.4,15.2,14.85,14.55,14.2,13.9,13.8,13.8
15Yr,14.55,14.9,14.35,14.55,14.4,14.25,14.1,14,13.9,13.7,13.35,12.9,12.6,12.5,12.3
20Yr,13.7,13.6,13.5,13.35,13.9,13.2,13.05,12.95,13.4,12.65,12.5,12.3,12,12.1,11.25
25Yr,12.8,12.8,12.75,12.6,12.65,12.5,12.4,12.3,12.15,12,11.7,11.25,11.5,10.55,11.5
30Yr,12.35,12.35,12.35,12.25,12.25,12.1,11.95,11.9,11.75,11.55,11.15,10.6,10.25,10,9.9
