Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,78.13,71.78,73.33,67.25,61.83,60.5,60,58.4,58.1,58.05,51.4,52.45,52.1,52.6,52.08
3Mo,68.45,69.92,66.4,63.75,60.23,57.38,56.17,54.95,54.27,54.05,51.67,48.75,47.88,48.6,48.85
6Mo,76.78,68.18,63.42,60.38,57.7,54.05,52.75,51.35,50.92,49.85,47.27,45.4,44.77,44.3,44.75
9Mo,79.5,68.85,62.77,58.13,55.1,51.6,50.15,48.95,48.35,47.48,46.3,43.63,42.48,42.15,42.25
1Yr,79.07,68.3,61.6,55.65,52.23,49.33,47.92,46.77,46.33,45.17,43.67,41.6,40.5,40.78,40.83
2Yr,79.55,62.73,53.38,48.38,45.9,43.9,42.45,41.3,40.7,39.73,38.5,37.1,36.67,36.5,36.6
3Yr,59.7,49.65,44.48,41.55,39.65,38.58,37.8,37.33,36.7,35.85,36,34.17,34.2,33.65,33.7
4Yr,45.65,41.22,38.65,36.9,35.97,35.5,34.5,33.85,33.45,33.38,32.8,32.4,32.25,31.95,31.92
5Yr,38.45,36.2,35.02,34.2,33.6,33.2,32.47,32.22,31.98,31.75,31.15,30.7,30.55,30.35,30.38
6Yr,34.33,33.4,32.75,32.17,31.63,31.23,30.9,30.42,30.63,30.42,30.6,29.77,29.57,29.33,29.42
7Yr,32.42,32,31.5,30.92,30.63,30.15,30.05,29.98,29.93,30.33,29.73,29,29.05,28.5,28.75
8Yr,31.13,30.7,30.15,29.63,29.45,29.33,29.07,29.05,28.85,29.15,29.1,28.25,28.17,27.98,27.63
9Yr,30.43,29.6,29.3,28.95,28.75,28.82,28.6,28.25,28.7,28.55,28.52,27.85,27.48,27.38,26.95
10Yr,29.38,28.75,28.42,28.45,28.2,28.27,28.3,28.32,28.35,28.48,27.88,27.5,26.95,26.63,26.45
15Yr,27.8,27.8,27.73,28.1,28.02,28.02,28.02,27.92,27.92,27.83,26.7,26.9,26.45,26.6,26.4
20Yr,25.73,26.2,25.75,25.85,25.93,25.9,25.85,25.85,25.77,25.83,26.48,24.93,24.92,24.7,24.9
25Yr,24.48,25.35,25.38,25.05,25.45,25.48,25.5,25.55,25.1,25.1,25.5,24.9,25.2,25.25,25.25
30Yr,25.02,25,25.25,25.68,25.48,25.7,25.77,25.98,26.2,26.3,25.13,25.27,24.85,24.88,27.9
