Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,123.6,86,79.88,63.95,55.7,47,41.67,38.33,35.8,34.1,30.4,28.75,26.57,25.9,25.13
3Mo,83.55,70.93,70.68,59.85,52.6,44.92,40.48,37.42,35.13,33.45,28.6,28.3,26.15,25.85,25.27
6Mo,79.45,73.88,66.88,55.63,49.3,42.98,38.92,36.3,34.45,32.8,28.98,27.85,26.17,25.52,24.8
9Mo,85.03,72.68,62.6,52.33,46.55,41.23,37.73,35.73,33.8,32.1,30.23,27.45,26,25.55,24.73
1Yr,79.53,70.1,58.25,48.92,44.08,39.55,36.52,34.9,33.1,31.63,28.4,27.25,25.9,25.33,24.95
2Yr,66.47,52.83,44.33,38.88,35.98,33.65,31.85,30.9,29.88,28.95,27.3,25.5,24.48,24.1,23.68
3Yr,44.5,37.63,34.17,32.08,30.68,29.5,28.32,27.95,27.2,26.4,24.38,23.82,23.3,22.9,22.57
4Yr,33.35,30.73,29.15,28.05,27.27,26.52,25.75,25.57,25.18,24.55,23.8,22.9,21.9,21.75,21.65
5Yr,28.43,27.17,26.38,25.67,25.15,24.58,24.1,23.98,23.75,23.23,22.55,21.38,20.9,20.85,20.55
6Yr,26.1,25.5,24.73,24.1,23.75,23.27,22.95,22.7,22.52,22.38,21.63,20.48,20.25,20.05,20
7Yr,24.4,23.75,23.4,22.77,22.6,22.15,21.98,21.88,21.8,21.42,20.95,19.75,19.38,19.4,19.2
8Yr,23,22.65,22.2,21.9,21.48,21.3,21.07,21.02,21,20.98,20.15,18.9,19,18.85,18.75
9Yr,21.98,21.63,21.32,20.98,20.73,20.6,20.25,20.25,20.25,20.25,19.65,18.83,18.63,18.3,18.25
10Yr,20.63,20.98,20.38,20.13,19.95,19.85,19.7,19.9,19.8,19.7,19.05,18.08,17.67,17.8,17.85
15Yr,18.4,18.6,18.7,18.63,18.52,18.48,18.35,18.3,18.23,18.1,17.42,16.42,16.23,16.13,16.02
20Yr,17.63,17.5,17.35,17.15,16.8,16.9,16.77,16.63,16.58,16.7,16.17,15.43,15.22,15.1,16.15
25Yr,16.27,16.1,15.95,15.85,15.7,15.7,16.85,16.85,15.82,15.93,16.27,16.8,14.75,14.25,13.72
30Yr,15.38,15.28,15.18,17.25,14.95,14.97,14.85,14.72,14.78,14.72,15.07,15.6,13.28,13.18,17.7
