Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,42.1,44.35,40.45,38.65,37.25,34.65,31.97,30.1,28.3,26.65,24.88,24.25,22.15,22.3,21.75
3Mo,38.58,40.6,36.7,34.7,33.35,31.2,28.75,27.2,26.1,24.38,23.25,21.8,20.85,20.9,20.7
6Mo,37.4,35.58,33,31.4,30.2,28.23,27.1,25.25,24.4,23.1,22,20.9,19.9,19.6,19.2
9Mo,35.98,33.22,31.4,29.93,28.6,27.08,25.7,23.85,23.2,22.3,21.3,19.9,19.35,19,18.95
1Yr,33.95,30.85,29.2,27.75,26.45,25.2,24.3,22.85,22.15,21.27,20.4,19.65,18.8,18.7,18.4
2Yr,26.05,25.23,24.6,23.75,22.93,21.85,21.43,20.95,20.45,19.85,19.15,18.4,17.55,17.6,17.5
3Yr,23.7,22.85,22.23,21.5,20.95,20.38,19.98,19.75,19.3,19,18.25,17.7,16.95,17,16.52
4Yr,21.45,20.88,20.7,19.9,19.6,19.18,18.9,18.7,18.45,17.83,17.5,16.75,16.23,16.25,15.88
5Yr,19.7,19.35,18.95,18.7,18.5,18.27,17.85,17.85,17.65,17.3,16.8,16.1,15.9,15.7,15.7
6Yr,18.9,18.15,18.15,18,17.65,17.5,17.2,17,16.8,16.5,16,15.25,15,14.9,14.8
7Yr,17.8,17.5,17.23,17.3,17.1,16.9,16.38,16.55,16.3,15.8,15.5,15.1,14.7,14.45,14.22
8Yr,16.8,16.45,16.45,16.35,16.15,15.95,15.8,15.6,15.55,15.3,14.95,14.5,14.25,13.95,13.85
9Yr,15.9,15.7,15.65,15.55,15.45,15.25,15.25,15.05,14.9,14.75,14.5,14.15,13.9,13.7,13.5
10Yr,15.48,15.5,15.5,15.4,15.05,15.2,14.72,14.7,14.7,14.22,14,13.7,13.4,13.3,13.3
15Yr,14.4,14.3,14.1,13.9,13.8,13.7,13.6,13.5,13.3,13.15,12.8,12.3,12.2,12,11.8
20Yr,12.95,13.25,13.1,13,12.9,12.75,12.6,12.5,12.7,12.25,12,11.7,11.15,11,10.9
25Yr,12.95,12.45,12.35,12.2,12.15,12,11.9,11.8,11.7,11.6,11.15,10.5,10.3,10.15,10
30Yr,12.75,12.2,12.15,12,11.95,11.8,11.65,11.6,11.4,11.25,10.75,10.05,9.85,9.65,9.5
