Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.20125,0,2.20125,2.20125,0.994527
EDZ08   ,2.0549,0,2.0549,2.07788,0.994103
EDH09   ,1.78872,0,1.78872,1.9644,0.989628
EDM09   ,1.76185,0,1.76185,1.91407,0.985241
EDU09   ,1.80929,0,1.80929,1.89454,0.980755
EDZ09   ,1.94106,0,1.94106,1.90462,0.975967
EDH10   ,1.96718,0,1.96718,1.92268,0.971138
2 YR,1.974,0,1.974,1.97474,0.961409
3 YR,2.169,0,2.169,2.17404,0.93719
4 YR,2.3725,0,2.3725,2.38423,0.90955
5 YR,2.5525,0,2.5525,2.57232,0.880033
6 YR,2.6915,0,2.6915,2.71893,0.85041
7 YR,2.79,0,2.79,2.82329,0.82168
8 YR,2.8605,0,2.8605,2.89816,0.794383
9 YR,2.9145,0,2.9145,2.95562,0.767928
10 YR,2.945,0,2.945,2.98696,0.743425
11 YR,2.903,0,2.903,2.93369,0.725886
12 YR,2.9665,0,2.9665,3.00708,0.698843
15 YR,2.9505,0,2.9505,2.97942,0.641711
20 YR,2.893,0,2.893,2.89888,0.56236
25 YR,2.849,0,2.849,2.83781,0.494373
30 YR,2.8295,0,2.8295,2.81114,0.43277
40 YR,2.828,0,2.828,2.81218,0.327198
50 YR,2.9264,0,2.9264,3.0056,0.225008
