Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,4.15,0,4.15,4.15,0.98928
EDZ08   ,3.31898,0,3.31898,3.73554,0.98318
EDH09   ,2.80196,0,2.80196,3.43371,0.976265
EDM09   ,2.87411,0,2.87411,3.30798,0.969224
EDU09   ,2.99543,0,2.99543,3.25229,0.96194
EDZ09   ,3.30595,0,3.30595,3.26395,0.953968
EDH10   ,3.48069,0,3.48069,3.30907,0.945648
2 YR,3.381,0,3.381,3.38166,0.935045
3 YR,3.6716,0,3.6716,3.68351,0.896282
4 YR,3.858,0,3.858,3.87886,0.857556
5 YR,3.9972,0,3.9972,4.02648,0.819284
6 YR,4.1135,0,4.1135,4.15171,0.781491
7 YR,4.20325,0,4.20325,4.24925,0.744855
8 YR,4.2865,0,4.2865,4.34179,0.709194
9 YR,4.3475,0,4.3475,4.40962,0.67533
10 YR,4.399,0,4.399,4.4676,0.64285
11 YR,4.4445,0,4.4445,4.51968,0.611628
12 YR,4.476,0,4.476,4.55485,0.58234
15 YR,4.545,0,4.545,4.63296,0.503074
20 YR,4.588,0,4.588,4.67379,0.396927
25 YR,4.595,0,4.595,4.66747,0.315543
30 YR,4.59,0,4.59,4.64464,0.252186
40 YR,4.5795,0,4.5795,4.6002,0.162109
50 YR,4.58125,0,4.58125,4.59459,0.103177
