Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,0.581,0,0.581,0.581,0.998534
EDH12   ,0.66424,0,0.66424,0.63385,0.997069
EDM12   ,0.73782,0,0.73782,0.676,0.995213
EDU12   ,0.77078,0,0.77078,0.70307,0.993277
EDZ12   ,0.79318,0,0.79318,0.72199,0.99129
EDH13   ,0.78503,0,0.78503,0.73578,0.989327
EDM13   ,0.79131,0,0.79131,0.74651,0.987352
2 YR,0.756,0,0.756,0.75626,0.985017
3 YR,0.86475,0,0.86475,0.86593,0.974364
4 YR,1.055,0,1.055,1.05922,0.958595
5 YR,1.2705,0,1.2705,1.28027,0.938184
6 YR,1.4875,0,1.4875,1.50553,0.913937
7 YR,1.6779,0,1.6779,1.70558,0.88791
8 YR,1.83,0,1.83,1.86701,0.861855
9 YR,1.9555,0,1.9555,2.00147,0.835862
10 YR,2.0635,0,2.0635,2.11841,0.809948
11 YR,2.158,0,2.158,2.22185,0.784227
12 YR,2.2435,0,2.2435,2.31658,0.758516
15 YR,2.415,0,2.415,2.50783,0.688043
20 YR,2.5305,0,2.5305,2.63117,0.592771
25 YR,2.5845,0,2.5845,2.68519,0.513256
30 YR,2.6185,0,2.6185,2.71896,0.444772
40 YR,2.627,0,2.627,2.7066,0.341168
50 YR,2.594,0,2.594,2.62856,0.270977
