Date,Swap Value,Swaption Value
20080701,4.9393,23.8764
20080702,4.72398,23.6857
20080703,7.46451,25.1946
20080704,6.82067,24.7247
20080705,6.82062,24.7253
20080706,6.82056,24.7253
20080707,6.17658,24.3227
20080708,4.86846,23.7993
20080709,3.92122,23.4864
20080710,3.53506,23.3086
20080711,5.68909,24.5931
20080712,5.68669,24.5928
20080713,5.68428,24.5917
20080714,3.80889,23.6163
20080715,3.5315,23.4512
20080716,6.66738,24.5479
20080717,7.89181,25.1516
20080718,8.49373,25.144
20080719,8.49323,25.1442
20080720,8.49272,25.144
20080721,7.19605,24.6373
20080722,8.16984,24.9793
20080723,6.93979,24.1058
20080724,6.1867,23.8756
20080725,7.85235,24.5078
20080726,7.85063,24.5077
20080727,7.84891,24.5069
20080728,6.75745,24.1027
20080729,7.5224,24.3592
20080730,7.00895,23.9659
20080731,6.66576,23.7918
20080801,6.79885,23.5905
20080802,6.79851,23.5909
20080803,6.79817,23.5908
20080804,7.86586,24.2642
20080805,9.20953,24.8726
20080806,8.94615,24.6201
20080807,7.06814,23.5621
20080808,5.89051,22.9658
20080809,5.88947,22.9659
20080810,5.88843,22.9655
20080811,7.15234,23.4758
20080812,5.99759,23.0136
20080813,5.30238,22.6342
20080814,5.26683,22.8408
20080815,4.90571,22.4539
20080816,4.90382,22.4536
20080817,4.90192,22.4527
20080818,3.12017,21.8499
20080819,4.41151,22.7088
20080820,3.75397,22.9371
20080821,3.73771,23.0492
20080822,3.05634,22.5218
20080823,3.05536,22.5219
20080824,3.05438,22.5218
20080825,2.472,22.3891
20080826,1.98997,22.2977
20080827,1.77671,21.9504
20080828,1.37611,21.7324
20080829,2.82847,22.6351
20080830,2.8237,22.6328
20080831,2.81893,22.631
20080901,1.72785,21.7689
20080902,1.27497,21.6937
20080903,0.604298,21.5828
20080904,-0.0251451,21.7303
20080905,-0.693597,21.1547
20080906,-0.696022,21.1539
20080907,-0.698447,21.1529
20080908,-2.30741,20.2575
20080909,-4.82722,18.8904
20080910,-2.95703,19.9561
20080911,-2.91522,20.1284
20080912,0.0798063,21.0636
20080913,0.0783663,21.0635
20080914,0.0769263,21.063
20080915,0.0754863,21.0626
20080916,0.0740463,23.9911
20080917,-6.97169,19.1285
20080918,-0.75052,23.0164
20080919,-0.131778,21.72
20080920,-0.13234,21.7202
20080921,-0.132903,21.7202
20080922,1.35417,21.7171
20080923,-0.141005,20.9366
20080924,1.86877,22.8311
20080925,0.164336,21.8266
20080926,0.8546,22.2004
20080927,0.847552,22.198
20080928,0.840504,22.1954
20080929,-5.59651,20.2787
20080930,0.257695,23.6533
20081001,-1.88978,22.661
20081002,-1.85438,22.3989
20081003,-3.4545,21.7443
20081004,-3.45237,21.7459
20081005,-3.45025,21.747
20081006,-5.27251,22.7473
20081007,-4.23184,23.0977
20081008,-5.39486,23.1558
20081009,-3.40285,25.2315
20081010,-4.32398,25.7605
20081011,-4.31516,25.7658
20081012,-4.30634,25.7723
20081013,-4.89864,26.0317
20081014,1.50852,25.826
20081015,-0.0153757,25.0759
20081016,0.575215,25.4296
20081017,1.77805,25.971
20081018,1.77745,25.9725
20081019,1.77685,25.9737
20081020,-3.93612,23.043
20081021,-6.47285,21.1152
20081022,-9.42057,20.747
20081023,-8.31957,22.104
20081024,-8.7187,21.0633
20081025,-8.71163,21.0678
20081026,-8.70456,21.0714
20081027,-10.4472,19.0292
20081028,-5.20593,21.0077
20081029,-5.1919,20.3524
20081030,-0.76677,22.2107
20081031,-1.67756,20.9401
20081101,-1.65787,20.9497
20081102,-1.63819,20.9593
20081103,0.723871,22.9806
20081104,-4.43238,20.8563
20081105,-2.51565,24.344
20081106,-6.28473,20.7976
20081107,-4.48789,21.9207
20081108,-4.48101,21.9254
20081109,-4.47413,21.9299
20081110,-3.45572,22.4633
20081111,-3.51862,23.0601
20081112,-4.97879,21.2314
20081113,-4.96153,20.9917
20081114,-6.74104,22.2544
20081115,-6.73095,22.2598
20081116,-6.72085,22.2655
20081117,-9.20658,21.6735
20081118,-13.0334,21.9148
20081119,-19.8442,20.6395
20081120,-39.0772,16.5826
20081121,-33.4067,13.8129
20081122,-33.3837,13.8176
20081123,-33.3606,13.8237
20081124,-35.2836,7.55533
20081125,-34.4722,14.2151
20081126,-38.8901,10.9939
20081127,-34.3097,12.7817
20081128,-38.6584,12.3543
20081129,-38.6497,12.3701
20081130,-38.6409,12.3721
20081201,-43.2054,10.7905
20081202,-43.9726,9.2446
20081203,-43.4322,7.98549
20081204,-44.0605,9.9812
20081205,-40.713,11.0594
20081206,-40.7055,11.0609
20081207,-40.698,11.0628
20081208,-40.0186,11.8086
20081209,-42.0069,10.7983
20081210,-39.9768,12.8668
20081211,-42.8382,12.0838
20081212,-44.527,11.5754
20081213,-44.5296,11.5741
20081214,-44.5322,11.574
20081215,-44.5348,11.396
20081216,-76.3776,2.3037
20081217,-55.9042,6.05931
20081218,-56.5678,5.87147
20081219,-54.4996,6.49702
20081220,-54.5091,6.49412
20081221,-54.5186,6.49602
20081222,-52.9085,6.03683
20081223,-48.3843,7.87686
20081224,-47.8675,8.13532
20081225,-47.6257,7.70058
20081226,-48.5663,7.53872
20081227,-48.5768,7.53293
20081228,-48.5873,7.53239
20081229,-49.511,7.20902
20081230,-49.9244,7.75509
20081231,-43.4461,9.10277
