Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,1.92125,0,1.92125,1.92125,0.99522
EDZ08   ,1.88499,0,1.88499,1.88983,0.995205
EDH09   ,1.54376,0,1.54376,1.73821,0.991336
EDM09   ,1.58673,0,1.58673,1.70112,0.987376
EDU09   ,1.66393,0,1.66393,1.69733,0.98324
EDZ09   ,1.77536,0,1.77536,1.71386,0.978848
EDH10   ,1.85106,0,1.85106,1.74406,0.974289
2 YR,1.816,0,1.816,1.81721,0.964467
3 YR,2.035,0,2.035,2.04062,0.940909
4 YR,2.2365,0,2.2365,2.24821,0.914399
5 YR,2.37725,0,2.37725,2.39429,0.887805
6 YR,2.4935,0,2.4935,2.51612,0.860686
7 YR,2.59765,0,2.59765,2.62661,0.833046
8 YR,2.67,0,2.67,2.70343,0.806682
9 YR,2.729,0,2.729,2.76647,0.780806
10 YR,2.753,0,2.753,2.79037,0.757914
11 YR,2.787,0,2.787,2.82677,0.734351
12 YR,2.8185,0,2.8185,2.86096,0.711142
15 YR,2.844,0,2.844,2.88334,0.650788
20 YR,2.7905,0,2.7905,2.8056,0.57271
25 YR,2.754,0,2.754,2.75322,0.504792
30 YR,2.726,0,2.726,2.71289,0.445571
40 YR,2.6415,0,2.6415,2.5858,0.357832
50 YR,2.6345,0,2.6345,2.58385,0.277024
