Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,88.35,82.8,69.35,63.15,59.3,54.75,50.9,47.75,44.95,43.7,43.42,43.05,42.73,42.8,42.83
3Mo,78.85,69.1,58.75,53.75,50.65,47.05,44.15,42.1,40.2,38.2,37.8,36.95,37.1,36.95,36.75
6Mo,74.2,61.4,52.45,48.25,45.35,42.35,40.05,38.5,36.9,35.25,35,34.45,34.05,34.15,33.75
9Mo,66.8,54.48,47.83,44.13,42.3,39.77,37.85,36.3,35.45,33.73,33.5,33.2,32.7,32.85,32.28
1Yr,59.8,47.3,42.8,40.45,38.67,36.7,34.97,34.1,32.65,31.68,30.1,31.3,30.8,30.9,30.45
2Yr,36.3,34.75,33.45,32.35,31.45,30.55,29.8,29.35,28.8,28.05,27.1,27.9,27.65,27.9,27.57
3Yr,31.2,30.7,30.02,29.3,28.88,28.23,27.9,27.8,26,26.85,24.13,26.8,26.65,26.9,26.5
4Yr,27.85,27.88,27.3,27,27.2,26.43,26.3,26.3,26.1,25.43,24.8,25.8,25.6,25.6,25.25
5Yr,25.9,25.5,25.25,25.18,25.1,24.95,24.77,24.9,24.8,24.35,24.6,24.4,24.45,24.5,24.15
6Yr,24,23.65,23.85,23.95,23.9,23.85,23.7,23.65,23.6,23.3,23.3,23.3,23.2,23.05,22.8
7Yr,23.05,23.15,22.9,23.35,23.55,23.2,23.25,23,22.9,22.55,22.9,22.55,22.45,22.2,22.6
8Yr,22.75,21.75,22,22.15,22.2,22.15,22.05,21.95,21.9,21.7,21.7,21.8,21.55,21.15,21
9Yr,21.35,21.15,21.35,21.5,21.45,21.3,21.35,21.2,21.1,20.95,21,21.15,20.85,19.35,20.2
10Yr,20.8,21.07,21.13,21.5,21.15,20.98,20.8,20.85,20.9,20.38,19.7,20.05,19.8,19.6,19.95
15Yr,19.7,19.8,20,20.05,19.85,19.55,19.3,19,18.75,18.65,18.45,18.2,17.8,17.25,18.25
20Yr,19.4,19,18.65,18.3,18.1,18.1,18,17.95,17.8,17.7,17.45,17.1,16.65,16.1,17.1
25Yr,17.8,17.8,17.7,17.7,17.7,17.6,17.4,17.15,16,16.95,16.55,16,15.4,15,14.95
30Yr,17.5,17.6,17.7,17.35,17.15,13.45,10.75,13.15,14.85,16.15,15.75,15.2,14.75,14.45,14.35
