Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,97.9,76.8,74.15,65.97,59.02,57.6,58.17,55.88,55.13,56.35,53.55,50.4,52.23,50.35,50.92
3Mo,88.75,71.63,67.08,60.42,56.92,55.53,55.45,52.58,52.42,53.02,49.85,48.88,48.67,47.77,47.83
6Mo,84.9,68.57,62.6,58.27,55.2,53.33,52.13,50,49.65,50.08,47.75,45.98,45.88,44.95,45.65
9Mo,81.85,68.18,62.95,57.15,53.13,50.55,47.85,48.33,47.88,47.15,46.7,43.92,43.17,42.92,42.9
1Yr,78.83,67.63,60.05,55.3,51.8,49.33,48.52,46.17,45.8,45.42,42.88,41.95,41.78,41.03,41.6
2Yr,77.13,60.67,52.75,48.25,45.65,44.08,42.7,41.38,40.63,40.38,38.7,37.6,37.83,37.33,37.9
3Yr,57.58,49.75,44.9,42.05,40.48,39.13,38.23,37.4,36.97,36.75,36.67,34.95,35.2,34.53,34.92
4Yr,45.33,41.63,39.13,37.73,36.7,36.17,35.3,34.55,34.2,34.25,33.3,33,33.02,32.5,32.45
5Yr,38.85,36.8,35.85,35,34.38,34.1,33.4,32.88,32.65,32.8,31.85,31.57,31.88,31.27,31.7
6Yr,34.08,33.67,33.13,32.65,32.08,31.73,31.38,30.77,30.77,30.58,31.5,30.45,30.23,30.15,30.05
7Yr,33.1,32.55,32.1,31.6,31.15,31,30.73,30.4,30.1,31.15,30.35,29.45,30,29.4,29.75
8Yr,31.57,31.17,30.6,30.18,29.82,29.8,29.77,29.3,29.2,29.4,29.82,29.23,28.85,28.68,28.5
9Yr,30.45,30.07,29.58,29.27,29.13,29.33,29.18,28.65,29.3,29.02,29.15,28.6,28.25,26.9,28
10Yr,30.1,29.73,29.48,29.33,28.98,29.35,29.35,29.05,29.13,29.48,28.7,28.15,28.1,27.5,27.7
15Yr,28.85,28.4,28.93,28.98,29.15,29.2,28.85,29.27,29.32,29.2,27.73,28.05,27.33,27.48,27.52
20Yr,27.07,26.98,27.08,27.1,27.1,27.23,27.1,27,26.55,26.68,27.48,26.02,25.63,25.8,25.63
25Yr,26.35,26.35,26.4,26.45,26.5,26.1,26.55,26.57,26.63,26.4,26.42,25.98,25.48,27.2,25.05
30Yr,26.2,26.15,26.27,26.42,26.58,26.75,26.73,26.68,26.77,26.82,26.23,25.8,25.27,25.08,28.65
