Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,1.46625,0,1.46625,1.46625,0.996307
EDH09   ,1.17433,0,1.17433,1.32792,0.993843
EDM09   ,1.24808,0,1.24808,1.3107,0.990717
EDU09   ,1.36132,0,1.36132,1.32836,0.987319
EDZ09   ,1.50406,0,1.50406,1.36543,0.98358
EDH10   ,1.61131,0,1.61131,1.41362,0.97959
EDM10   ,1.80308,0,1.80308,1.47631,0.975146
2 YR,1.5865,0,1.5865,1.58902,0.968841
3 YR,1.828,0,1.828,1.83461,0.946686
4 YR,2.009,0,2.009,2.02014,0.922644
5 YR,2.15455,0,2.15455,2.17195,0.897563
6 YR,2.278,0,2.278,2.30083,0.871742
7 YR,2.366,0,2.366,2.39305,0.846607
8 YR,2.4385,0,2.4385,2.46962,0.821717
9 YR,2.496,0,2.496,2.53063,0.797456
10 YR,2.538,0,2.538,2.57501,0.774143
11 YR,2.5935,0,2.5935,2.63667,0.749603
12 YR,2.64,0,2.64,2.68802,0.725849
15 YR,2.742,0,2.742,2.80175,0.658793
20 YR,2.747,0,2.747,2.79298,0.574227
25 YR,2.714,0,2.714,2.73908,0.506555
30 YR,2.7195,0,2.7195,2.74303,0.441616
40 YR,2.683,0,2.683,2.6791,0.344892
50 YR,2.9264,0,2.9264,3.16611,0.207891
