Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,79.85,75.65,63.55,57.05,53.45,49.95,47.25,45.05,43.6,42.95,43.7,44.3,45.95,44.35,47.05
3Mo,72.75,64.85,56.45,50.95,47.85,45.15,43.05,41.2,40.2,39.85,41,38.65,41.55,38.3,41.95
6Mo,66.2,57.25,49.75,45.55,43.35,41.15,39.35,37.75,37,36.85,37.35,35.15,37.15,34.55,37.35
9Mo,61.85,51.55,45.6,42.1,40.35,38.45,37,34.9,35.05,35,34.9,34.85,35.2,35.9,35.4
1Yr,53.98,45.58,40.95,38.15,36.85,35.25,34.15,33.05,32.55,32.65,32.85,31.58,32.75,31.18,32.95
2Yr,35.78,33.25,31.45,30.55,29.75,29.05,28.65,28,27.9,28.15,28.4,27.6,28.85,27.5,28.95
3Yr,28.98,28.18,27.65,27.05,26.65,26.45,26.35,25.9,26.5,26.25,26.08,26.1,27.15,26.05,27.35
4Yr,25.45,25.35,24.85,24.55,24.55,24.45,24.45,24.2,24.25,24.55,24.8,24.5,25.35,24.4,25.45
5Yr,23.75,23.15,22.95,22.85,22.95,23.05,23.05,23,23,23.25,23.6,23.45,23.85,23.25,23.95
6Yr,21.75,21.7,21.75,21.85,21.85,22.05,22.15,22.3,22.45,22.3,22.4,22.55,22.5,23.52,22.65
7Yr,20.25,20.55,20.75,20.95,21.25,21.35,21.45,21.45,21.45,21.55,21.75,21.3,21.65,21,21.65
8Yr,20.7,19.85,20,20.3,20.4,20.65,20.75,20.9,21,21.1,21.1,21.15,20.95,21.7,20.8
9Yr,19.45,19.35,19.45,19.7,19.85,19.9,20.25,20.2,20.25,20.2,20.3,20.55,20.25,19.55,19.95
10Yr,18.95,19.25,19.55,19.75,19.95,20.05,20.05,19.8,19.75,19.75,19.4,18.9,19.15,18.5,19.05
15Yr,18.8,19,19.2,19.13,19.05,19.3,19.05,18.8,18.55,18.65,18.1,17.35,17.2,17.05,17.05
20Yr,17.85,17.05,16.88,16.65,16.57,16.52,16.5,16.45,16.3,17.35,16.7,15.8,15.65,14.97,15.45
25Yr,16.8,16.8,16.7,16.6,16.5,16.4,16.3,16.2,16.1,16,15.8,15.5,15.6,15.7,15.8
30Yr,16.1,16.1,16.1,16,16,15.9,15.9,15.8,15.8,16.35,16,15.5,15.7,15.8,15.8
